at,scene-type,scene-subtype,transitional
00:00:03.003,L,,False
00:01:06.533,-,,False
00:01:32.025,M,,False
00:02:16.536,P,,False
00:03:44.524,-,,False
00:04:28.501,M,,False
00:04:30.136,M,,False
00:04:33.373,M,,False
00:05:03.503,I,,False
00:05:39.272,-,,False
00:06:17.009,I,,False
00:06:56.282,P,,False
00:07:35.521,F,,False
00:07:44.030,-,,False
00:08:26.506,F,,False
00:09:10.249,-,,False
00:10:25.758,-,,False
00:11:41.267,P,,False
00:12:19.004,-,,False
00:12:52.438,-,,False
00:13:56.302,-,,False
00:15:00.165,-,,False
00:16:04.029,-,,False
00:17:07.860,P,,False
00:18:11.723,-,,False
00:19:15.587,-,,False
00:19:50.522,I,,False
00:20:11.510,I,,False
00:20:28.527,I,,False
00:20:46.511,I,,False
00:20:58.023,I,,False
00:21:34.526,I,,False
00:22:07.526,-,,False
00:22:41.026,I,,False
00:23:08.520,F,,False
00:24:06.044,G,,True
00:25:00.499,F,,False
00:25:36.768,-,,False
00:26:13.438,G,,False
00:26:15.507,G,,False
00:26:17.275,G,,False
00:26:21.112,G,,False
00:26:28.954,M,,False
00:26:32.824,M,,False
00:26:36.695,C,,False
00:26:39.030,C,,False
00:26:40.565,C,,False
00:26:44.469,C,,False
00:26:48.340,C,,False
00:26:52.210,R,,True
00:26:56.081,R,,False
00:27:26.511,G,,True
00:27:30.015,G,,False
00:27:49.401,G,,False
00:27:52.504,-,,False
00:27:57.142,G,,False
