at,scene-type,scene-subtype,transitional
00:01:07.534,O,,False
00:01:08.001,O,,False
00:01:08.535,O,,False
00:01:09.002,O,,False
00:01:10.003,O,,False
00:01:11.004,O,,False
00:01:11.538,O,,False
00:01:33.560,-,,False
00:01:34.561,-,,False
00:01:35.562,-,,False
00:01:36.029,-,,False
00:01:37.030,-,,False
00:01:43.003,M,,False
00:01:50.010,-,,False
00:01:58.018,L,,True
00:02:01.021,-,,False
00:02:04.024,L,,False
00:02:04.557,L,,False
00:02:05.025,L,,False
00:02:05.558,L,,False
00:02:06.026,L,,False
00:02:07.560,L,,False
00:02:08.028,L,,False
00:02:08.561,L,,False
00:02:09.029,L,,False
00:02:10.563,L,,False
00:02:29.049,-,,False
00:02:30.050,-,,False
00:02:31.518,-,,False
00:02:35.055,-,,False
00:02:35.522,-,,False
00:02:45.065,-,,False
00:02:47.000,-,,False
00:02:48.001,-,,False
00:02:49.002,F,,False
00:02:49.536,F,,False
00:02:50.537,F,,False
00:02:51.538,F,,False
00:02:52.539,F,,True
00:03:18.565,-,,False
00:03:21.534,-,,False
00:03:23.003,-,,False
00:05:58.058,P,,False
00:08:23.536,I,,False
00:08:24.004,I,,False
00:20:07.007,I,,False
00:20:11.011,I,,False
00:20:11.544,I,,False
00:20:12.012,I,,False
00:23:44.557,P,,False
00:26:01.528,P,,False
00:26:51.011,-,,False
00:26:53.013,-,,False
00:26:53.546,-,,False
00:26:55.548,C,,False
00:26:56.016,C,,False
00:26:56.549,C,,False
00:26:57.017,C,,False
00:26:59.552,C,,False
00:27:00.553,C,,False
00:27:01.021,C,,False
00:27:01.554,C,,False
00:27:02.022,C,,False
00:27:03.023,C,,False
00:27:04.024,C,,False
00:27:05.558,C,,False
00:27:06.026,C,,False
00:27:08.561,C,,False
00:27:09.562,C,,False
00:27:13.033,C,,False
00:27:15.502,C,,False
00:27:17.504,C,,False
00:27:18.505,C,,False
00:27:21.041,C,,False
00:27:23.510,C,,False
00:27:25.045,C,,False
00:27:25.512,C,,False
00:27:26.046,C,,False
00:27:27.514,C,,False
00:27:29.049,C,,False
00:27:31.051,C,,False
00:27:32.052,C,,False
00:27:32.519,C,,False
00:27:35.055,C,,False
00:27:35.522,C,,False
00:27:37.057,C,,False
00:27:38.058,C,,False
00:27:40.060,C,,False
00:27:45.065,C,,False
00:27:46.066,C,,False
00:27:47.534,C,,False
00:27:48.001,C,,False
00:27:50.537,R,,False
00:27:51.004,R,,False
00:27:52.005,R,,False
00:27:55.008,-,,False
00:27:55.542,-,,False
00:27:56.009,-,,False
00:27:56.543,-,,False
00:27:57.544,-,,False
00:27:58.011,-,,False
00:27:59.012,L,,False
00:27:59.546,L,,False
00:28:00.547,L,,False
00:28:01.014,L,,False
00:28:02.549,L,,False
00:28:03.016,L,,False
00:28:03.550,L,,False
00:28:04.017,L,,True
00:28:04.551,-,,False
00:28:14.027,L,,False
00:28:15.562,L,,False
00:28:16.029,L,,False
00:28:16.563,L,,False
00:28:17.564,L,,False
00:28:19.566,G,,True
00:28:20.033,G,,False
00:28:21.001,G,,False
00:28:21.534,G,,False
00:28:22.002,G,,False
00:28:23.003,G,,False
00:28:24.004,G,,False
00:28:24.537,G,,False
00:28:25.005,G,,False
00:28:25.538,G,,False
00:28:28.541,G,,False
00:28:29.009,G,,False
00:28:30.543,G,,False
00:28:37.017,L,,False
00:28:39.552,G,,False
00:28:42.022,G,,False
00:28:44.557,G,,False
00:28:45.558,G,,False
00:28:46.026,G,,False
