at,scene-label,scene-subtype-label,transitional
00:00:04.504,B,,False
00:00:11.011,S,G,False
00:00:12.879,S,,False
00:00:16.649,S,,False
00:00:23.523,M,,True
00:00:27.527,M,,False
00:00:41.508,L,,False
00:00:47.514,L,,False
00:01:08.501,I,,False
00:01:11.504,I,,False
00:01:25.018,-,,False
00:02:12.532,F,,False
00:02:23.009,P,,False
00:02:36.523,G,,True
00:02:38.391,G,,True
00:02:42.162,G,,False
00:02:50.837,S,G,False
00:02:53.506,S,G,False
00:02:53.506,S,G,False
00:02:56.176,S,G,False
00:03:09.522,M,,False
00:03:16.029,L,,False
00:03:46.025,E,,False
00:04:51.524,F,,False
00:05:04.504,P,,False
00:05:18.017,G,,True
00:05:19.385,G,,True
00:05:22.155,G,,False
00:05:29.028,S,G,False
00:05:30.897,S,G,False
00:05:34.634,S,G,False
00:05:50.516,M,,False
00:05:56.022,L,,False
00:06:25.518,I,,False
00:07:27.013,F,,False
00:07:54.507,G,,False
00:07:57.009,G,,False
00:07:57.510,G,,False
00:08:00.513,G,,False
00:08:08.020,S,G,False
00:08:09.889,S,G,False
00:08:13.659,S,G,False
00:08:29.008,M,,False
00:08:42.522,L,,True
00:09:03.009,E,,False
00:09:23.029,-,,False
00:10:11.510,F,,False
00:10:23.522,P,,False
00:10:38.004,G,,False
00:10:47.013,S,G,False
00:10:48.881,S,G,False
00:10:52.652,S,G,False
00:11:02.528,M,,True
00:11:04.263,M,,True
00:11:07.767,M,,False
00:11:19.512,L,,False
00:11:35.528,E,,False
00:11:57.016,-,,False
00:12:42.027,F,,False
00:12:54.006,P,,False
00:13:10.856,G,,False
00:13:13.025,G,,False
00:13:14.527,G,,False
00:13:18.197,G,,False
00:13:26.839,S,G,False
00:13:29.508,S,G,False
00:13:29.508,S,G,False
00:13:32.178,S,G,False
00:13:45.524,M,,False
00:13:55.501,L,,False
00:14:19.525,E,,False
00:14:40.512,-,,False
00:15:26.525,F,,False
00:15:39.004,P,,False
00:15:46.512,P,,False
00:15:53.519,G,,True
00:15:54.887,G,,True
00:15:57.656,G,,False
