at,scene-type,scene-subtype,transitional
00:00:01.501,B,,False
00:00:22.022,S,D,False
00:00:35.001,L,,False
00:00:38.038,L,,True
00:00:52.018,L,,False
00:01:04.030,O,,False
00:01:05.265,O,,False
00:01:07.767,O,,False
00:01:23.516,M,,False
00:01:29.022,M,,False
00:01:34.527,O,,False
00:01:35.528,O,,False
00:01:37.530,O,,False
00:02:05.024,F,,False
00:02:38.525,-,,False
00:03:39.519,-,,False
00:04:12.518,-,,False
00:04:44.117,-,,False
00:05:46.346,-,,False
00:06:48.574,-,,False
00:07:50.770,-,,False
00:08:52.999,-,,False
00:09:55.227,-,,False
00:10:57.423,-,,False
00:11:59.652,-,,False
00:13:01.881,-,,False
00:14:04.076,P,,False
00:15:06.305,-,,False
00:16:08.500,P,,False
00:17:10.729,P,,False
00:18:12.958,P,,False
00:19:15.154,-,,False
00:20:17.382,-,,False
00:21:19.611,-,,False
00:22:21.807,-,,False
00:23:24.035,P,,False
00:24:26.264,-,,False
00:25:28.460,-,,False
00:26:30.689,-,,False
00:27:32.917,-,,False
00:28:04.015,C,,False
00:28:05.016,C,,False
00:28:07.018,C,,False
00:28:09.521,C,,False
00:28:20.498,C,,False
00:28:24.002,C,,False
00:28:25.503,C,,False
00:28:28.506,C,,False
00:28:31.509,C,,True
00:28:39.517,C,,True
00:28:43.021,-,,False
00:28:47.025,G,,True
00:28:50.528,R,,True
00:28:51.763,R,,False
00:28:54.265,R,,False
00:29:02.140,L,,False
00:29:11.015,L,,False
00:29:12.383,L,,False
00:29:49.020,B,,False
00:30:14.512,S,D,False
00:30:30.028,L,,False
00:30:39.504,G,,False
00:30:50.515,O,,False
00:30:51.783,O,,False
00:30:54.285,O,,False
00:31:12.003,M,,False
00:32:06.257,-,,False
00:32:58.509,F,,False
00:33:27.005,I,,False
00:34:07.412,-,,False
00:35:22.253,P,,False
00:36:37.094,-,,False
00:37:18.002,F,,False
00:37:28.512,P,,False
00:38:29.507,G,,False
00:38:31.275,G,,True
00:38:34.779,G,,False
00:39:01.005,F,,False
00:39:15.019,F,,False
00:39:42.012,F,,False
00:40:01.499,I,,False
00:40:44.508,P,,False
00:41:28.018,I,,False
00:42:02.019,F,,False
00:42:19.003,I,,False
00:42:37.021,-,,False
00:42:56.507,F,,False
00:43:49.526,F,,False
00:44:01.505,F,,False
00:44:59.763,-,,False
00:45:59.022,F,,False
00:46:35.025,F,,False
00:47:02.019,I,,False
00:47:42.159,P,,False
00:48:56.400,-,,False
00:49:34.004,-,,False
00:50:22.019,P,,False
00:51:07.497,I,,False
00:51:08.632,I,,False
00:51:10.867,I,,False
00:52:04.254,P,,False
00:53:00.010,F,,False
00:53:08.018,F,,False
00:53:12.522,I,,False
00:53:35.512,-,,False
00:53:42.519,I,,True
00:54:01.004,F,,False
00:54:42.345,-,,False
00:56:02.025,-,,False
00:57:21.671,P,,False
00:58:01.511,C,,False
00:58:05.515,C,,True
00:58:10.019,C,,False
00:58:14.023,C,,False
00:58:18.027,C,,False
00:58:21.998,C,,False
00:58:26.503,C,,True
00:58:31.007,C,,False
00:58:35.011,C,,True
00:58:40.016,C,,False
00:58:45.522,C,,True
00:58:50.026,C,,False
00:58:54.998,C,,False
00:58:59.002,C,,False
00:59:02.005,R,,True
00:59:03.139,R,,False
00:59:05.375,R,,False
00:59:08.511,L,,False
