at,scene-type,scene-subtype,transitional
00:00:01.000,B,,False
00:01:20.513,-,,False
00:01:56.449,M,,False
00:01:58.518,M,,False
00:02:00.286,M,,False
00:02:04.124,M,,False
00:02:31.518,I,,False
00:03:05.785,P,,False
00:04:10.283,-,,False
00:04:50.023,I,,False
00:05:26.526,I,,False
00:06:15.007,F,,False
00:06:55.681,F,,False
00:08:12.024,-,,False
00:09:28.334,P,,False
00:10:11.510,I,,False
00:11:08.534,P,,False
00:12:07.026,I,,False
00:12:42.762,P,,False
00:13:52.264,-,,False
00:14:30.002,F,,False
00:15:30.262,-,,False
00:16:27.519,F,,False
00:17:25.511,F,,False
00:17:38.023,I,,False
00:18:15.527,P,,False
00:19:29.501,P,,False
00:20:08.006,I,,False
00:20:49.014,I,,False
00:21:47.272,P,,False
00:22:50.035,G,,False
00:22:59.044,G,,False
00:23:04.015,G,,False
00:23:08.019,G,,False
00:23:17.028,G,,False
00:23:26.037,G,,False
00:23:35.013,G,,False
00:23:44.022,G,,False
00:23:53.031,G,,False
00:24:02.040,G,,False
00:24:11.016,G,,False
00:24:42.013,I,,False
00:25:20.519,P,,False
00:26:00.525,-,,False
00:26:39.030,-,,False
00:27:54.005,P,,False
00:28:38.516,I,,False
00:29:30.502,M,,False
00:30:08.006,C,,False
