at,scene-type,scene-subtype,transitional
00:00:04.003,B,,False
00:00:18.151,S,D,False
00:00:26.393,S,D,False
00:00:29.029,S,D,False
00:00:38.505,L,,False
00:01:03.530,G,,False
00:01:37.097,-,,False
00:02:44.230,-,,False
00:03:51.331,-,,False
00:04:58.464,-,,False
00:05:32.031,-,,False
00:06:08.067,-,,False
00:07:17.170,-,,False
00:08:26.272,-,,False
00:09:35.374,-,,False
00:10:44.477,-,,False
00:11:20.513,-,,False
00:11:48.507,F,,False
00:12:25.344,-,,False
00:13:28.007,-,,False
00:14:30.669,-,,False
00:15:03.736,C,,False
00:15:07.139,C,,False
00:15:10.576,C,,False
00:15:14.013,C,,False
00:15:17.449,C,,False
00:15:20.886,C,,False
00:15:24.323,R,,False
