at,scene-type,scene-subtype,transitional
00:00:02.502,B,,False
00:00:10.143,S,D,False
00:00:13.513,S,D,False
00:00:17.384,S,D,False
00:00:33.033,L,,False
00:01:11.438,M,,False
00:01:14.007,M,,False
00:01:14.274,M,,False
00:01:17.110,M,,False
00:02:02.021,-,,False
00:02:49.002,G,,False
00:03:28.608,-,,False
00:04:38.811,-,,False
00:05:49.015,-,,False
00:06:59.218,-,,False
00:08:09.422,-,,False
00:08:47.527,G,,False
00:08:50.696,G,,False
00:09:03.075,G,,False
00:09:15.454,G,,True
00:09:27.833,G,,False
00:10:05.071,P,,False
00:11:07.166,P,,False
00:12:09.261,-,,False
00:13:11.357,-,,False
00:14:13.452,-,,False
00:14:46.452,C,,False
00:14:50.322,C,,False
00:14:54.193,C,,False
00:14:56.528,C,,False
00:14:58.063,C,,False
00:15:01.967,C,,False
00:15:05.838,C,,False
00:15:09.708,R,,False
00:15:13.579,R,,False
