at,scene-label,scene-subtype-label,transitional
00:00:00.000,B,,False
00:00:02.002,B,,False
00:00:04.004,B,,False
00:00:06.006,-,,False
00:00:08.008,-,,False
00:00:10.010,-,,False
00:00:12.012,S,G,False
00:00:14.014,S,G,False
00:00:16.016,S,G,False
00:00:18.018,S,G,False
00:00:20.020,S,G,False
00:00:22.022,S,G,False
00:00:24.024,S,G,False
00:00:26.026,S,G,False
00:00:28.028,S,G,False
00:01:32.025,M,,True
00:01:34.027,M,,False
00:01:36.029,M,,False
00:01:38.031,M,,False
00:01:40.033,M,,False
00:01:44.003,O,,False
00:01:46.005,O,,False
00:01:48.007,O,,False
00:01:50.009,O,,False
00:01:52.011,-,,False
00:02:24.010,-,,False
00:02:26.012,-,,False
00:02:28.014,-,,False
00:02:44.030,-,,False
00:02:46.032,-,,False
00:02:48.001,-,,False
00:02:50.003,-,,False
00:02:52.005,-,,False
00:02:54.007,-,,False
00:02:56.009,-,,False
00:02:58.011,-,,False
00:03:00.013,-,,False
00:03:02.015,-,,False
00:03:04.017,-,,False
00:03:08.021,-,,False
00:03:14.027,-,,False
00:03:16.029,-,,False
00:03:18.031,-,,False
00:03:20.033,-,,False
00:03:22.001,-,,False
00:03:24.003,-,,False
00:03:26.005,-,,False
00:03:28.007,-,,False
00:03:32.011,-,,False
00:03:34.013,-,,False
00:04:00.006,-,,False
00:04:02.008,-,,False
00:28:12.023,M,,False
00:28:14.025,M,,False
00:28:16.027,M,,False
00:28:18.029,M,,False
00:28:20.031,-,,False
00:28:22.000,C,,False
00:28:24.002,-,,False
00:28:26.004,C,,True
00:28:28.006,C,,False
00:28:30.008,C,,False
00:28:32.010,C,,False
00:28:34.012,C,,False
00:28:36.014,C,,False
00:28:38.016,C,,False
00:28:40.018,C,,False
00:28:42.020,C,,False
00:28:44.022,C,,False
00:28:46.024,C,,False
00:28:48.026,R,,True
00:28:50.028,R,,False
00:28:52.030,R,,False
00:28:54.032,R,,True
00:28:56.000,-,,False
00:28:58.002,-,,False
00:29:00.004,-,,False
00:29:02.006,M,,False
00:29:04.008,L,,False
00:29:06.010,L,,False
00:29:08.012,L,,False
00:29:10.014,L,,False
00:29:12.016,L,,False
00:29:14.018,L,,False
00:29:16.020,L,,False
00:29:18.022,L,,True
00:29:20.024,-,,False
00:29:22.026,-,,False
