at,scene-type,scene-subtype,transitional
00:00:02.502,B,,False
00:00:07.941,S,D,False
00:00:11.811,S,D,False
00:00:15.682,S,D,False
00:00:19.519,S,D,False
00:00:23.390,S,D,False
00:00:26.026,S,D,False
00:00:27.260,S,D,False
00:00:31.131,S,D,False
00:00:35.001,S,D,False
00:00:38.838,S,D,False
00:00:42.709,S,D,False
00:00:46.579,S,D,False
00:01:00.527,F,,False
00:01:42.502,F,,True
00:02:22.008,-,,False
00:02:56.509,I,,False
00:03:42.021,F,,False
00:04:11.017,F,,True
00:04:30.003,I,,False
00:05:05.271,-,,False
00:05:43.509,F,,False
00:06:41.768,P,,False
00:07:40.526,-,,False
00:08:26.005,I,,False
00:09:15.521,F,,False
00:09:59.532,-,,False
00:11:15.508,-,,False
00:11:54.013,I,,False
00:12:31.283,E,,False
00:13:36.782,-,,False
00:14:14.019,F,,False
00:14:44.516,-,,False
00:15:17.016,P,,False
00:15:53.519,F,,False
00:16:32.024,-,,False
00:17:10.029,F,,False
00:17:15.000,F,,False
00:18:01.513,F,,False
00:19:03.509,F,,False
00:19:40.012,I,,False
00:20:17.015,F,,False
00:20:38.503,F,,False
00:20:43.508,F,,False
00:21:23.782,-,,False
00:22:04.523,F,,False
00:22:45.530,P,,False
00:23:35.781,-,,False
00:24:22.527,-,,False
00:25:12.043,-,,False
00:26:02.527,I,,False
00:26:44.002,F,,False
00:27:06.024,I,,False
00:27:53.772,F,,False
00:29:21.259,-,,False
00:30:18.516,F,,False
00:31:15.506,I,,False
00:31:28.519,F,,False
00:31:43.001,I,,False
00:32:28.513,I,,False
00:33:29.007,-,,False
00:34:29.000,I,,True
00:34:53.024,I,,False
00:35:27.024,F,,False
00:35:46.010,E,,False
00:35:59.524,F,,False
00:36:36.294,-,,False
00:37:21.505,F,,False
00:38:25.503,P,,False
00:39:14.518,F,,False
00:39:34.004,F,,False
00:39:42.513,T,,False
00:40:16.514,F,,False
00:40:49.013,F,,False
00:40:56.020,F,,False
00:41:16.507,I,,False
00:41:32.523,I,,False
00:42:04.021,I,,False
00:42:21.505,I,,False
00:42:30.514,F,,False
00:42:40.524,I,,False
00:43:24.001,I,,False
00:43:34.511,-,,False
00:43:49.526,F,,False
00:44:14.518,F,,False
00:44:21.525,F,,False
00:44:45.516,F,,False
00:45:01.498,F,,False
00:45:32.029,F,,False
00:46:17.508,F,,False
00:46:32.523,I,,False
00:46:47.504,F,,False
00:47:26.109,P,,False
00:48:35.279,P,,False
00:49:44.448,-,,False
00:50:19.516,F,,False
00:50:35.999,F,,False
00:51:11.501,F,,False
00:51:47.003,F,,False
00:52:09.025,F,,False
00:52:29.012,F,,False
00:52:43.026,F,,False
00:52:54.504,F,,False
00:53:46.523,F,,False
00:54:24.894,C,,False
00:54:28.565,C,,False
00:54:32.269,C,,False
00:54:35.972,C,,False
00:54:39.643,C,,False
00:54:43.346,C,,False
00:54:47.050,C,,False
00:54:50.720,C,,False
00:54:54.424,C,,False
00:54:55.025,C,,False
00:54:58.128,C,,False
00:55:01.831,C,,False
00:55:05.502,C,,False
00:55:09.205,C,,False
00:55:12.909,C,,False
00:55:16.579,C,,False
00:55:20.283,C,,False
00:55:23.987,C,,False
00:55:27.691,C,,False
00:55:33.463,C,,False
00:55:35.498,R,,False
00:55:37.334,R,,False
00:55:41.204,R,,False
00:55:45.075,R,,False
