at,scene-type,scene-subtype,transitional
00:00:01.501,S,D,False
00:00:27.027,F,,False
00:00:46.012,L,,False
00:01:01.528,L,,False
00:01:38.531,-,,False
00:01:56.015,L,,False
00:02:11.030,I,,False
00:02:24.511,I,,False
00:02:32.018,G,,False
00:03:19.999,F,,False
00:03:26.005,F,,False
00:03:40.019,E,,False
00:04:00.506,F,,False
00:05:03.770,-,,False
00:06:02.528,F,,False
00:06:47.507,G,,False
00:07:23.509,I,,False
00:08:00.279,-,,False
00:09:11.784,P,,False
00:09:49.021,G,,False
00:10:22.021,P,,False
00:11:27.019,P,,False
00:12:32.017,P,,False
00:13:05.017,F,,False
00:13:39.351,E,,False
00:14:41.013,-,,False
00:15:42.675,P,,False
00:16:14.006,G,,False
00:16:46.205,-,,False
00:17:46.598,-,,False
00:18:46.992,P,,False
00:19:47.386,-,,False
00:20:47.779,-,,False
00:21:48.140,-,,False
00:22:48.533,-,,False
00:23:48.927,P,,False
00:24:49.321,P,,False
00:25:20.519,G,,False
00:25:56.154,P,,False
00:27:02.387,P,,False
00:27:35.520,I,,False
00:28:10.522,P,,False
00:28:44.522,F,,False
00:29:30.635,P,,False
00:30:57.889,-,,False
00:31:42.500,-,,False
00:32:44.028,G,,False
00:33:31.009,I,,False
00:34:22.527,I,,False
00:35:23.020,P,,False
00:36:20.511,I,,False
00:36:56.781,-,,False
00:38:06.284,P,,False
00:38:43.521,F,,False
00:39:18.723,-,,False
00:40:29.093,P,,False
00:41:39.463,-,,False
00:42:49.833,P,,False
00:43:26.503,F,,False
00:44:14.018,F,,False
00:45:07.271,-,,False
00:45:59.022,F,,False
00:46:24.014,G,,False
00:46:57.714,-,,False
00:48:03.113,-,,False
00:49:08.478,-,,False
00:50:13.877,-,,False
00:51:19.276,-,,False
00:52:24.641,-,,False
00:53:30.040,-,,False
00:54:35.405,-,,False
00:55:40.804,P,,False
00:56:14.003,G,,False
00:57:12.028,F,,False
00:58:08.017,C,,False
00:58:18.027,C,,True
00:58:21.498,C,,False
00:58:25.001,C,,False
00:58:28.505,-,,False
00:58:32.509,C,,False
00:58:36.513,C,,False
00:58:41.017,C,,False
00:58:44.521,C,,False
00:58:56.499,R,,False
