at,scene-type,scene-subtype,transitional
00:00:01.000,G,,False
00:00:16.015,M,,False
00:00:24.024,E,,False
00:00:36.269,E,,False
00:00:39.506,E,,False
00:00:53.787,E,,False
00:01:37.030,I,,False
00:02:19.005,Y,,False
00:02:34.521,F,,False
00:02:57.510,F,,False
00:03:00.013,I,,False
00:03:38.518,I,,False
00:04:33.506,I,,False
00:05:14.514,P,,False
00:06:30.523,E,,False
00:07:10.530,F,,False
00:07:17.003,I,,False
00:07:27.013,I,,False
00:07:54.006,F,,False
00:08:19.532,I,,False
00:09:12.518,-,,False
00:09:54.527,G,,False
00:10:21.520,G,,False
00:10:28.027,G,,False
00:11:01.160,P,,False
00:12:06.392,-,,False
00:12:40.526,Y,,False
00:12:53.005,I,,False
00:13:25.504,F,,False
00:14:11.016,F,,False
00:14:42.882,P,,False
00:15:45.644,E,,False
00:16:17.509,-,,False
00:16:54.313,G,,False
00:16:57.916,G,,False
00:17:01.487,G,,False
00:17:05.090,G,,False
00:17:08.527,G,,False
00:17:08.660,G,,False
00:17:12.264,G,,False
00:17:15.868,G,,False
00:17:19.438,G,,False
00:17:23.041,G,,False
00:17:26.612,G,,False
00:17:30.215,G,,False
00:17:34.520,E,,False
00:17:57.376,E,,False
00:18:00.512,E,,False
00:18:09.154,E,,False
00:18:18.030,N,,False
00:18:44.523,F,,False
00:19:15.521,I,,False
00:20:05.003,I,,False
00:21:04.029,P,,False
00:22:00.519,I,,False
00:22:56.508,T,,False
00:22:58.009,T,,False
00:23:10.522,-,,False
00:23:15.527,T,,False
00:23:17.262,T,,False
00:23:20.766,T,,False
00:23:54.299,P,,False
00:24:57.896,P,,False
00:26:01.526,P,,False
00:27:05.123,-,,False
00:28:08.720,E,,False
00:28:46.157,R,,False
00:28:57.402,R,,True
00:29:02.006,R,,False
