at,scene-type,scene-subtype,transitional
00:00:04.003,B,,False
00:00:08.274,S,D,False
00:00:12.012,S,D,False
00:00:13.780,S,D,True
00:00:22.522,L,,False
00:00:30.530,M,,False
00:00:56.022,F,,False
00:01:10.003,F,,False
00:01:38.031,F,,False
00:02:06.025,I,,False
00:02:51.004,I,,False
00:03:32.512,I,,False
00:03:46.025,I,,False
00:04:26.032,I,,False
00:04:38.011,I,,False
00:04:56.029,I,,False
00:05:07.507,I,,False
00:05:12.512,E,,False
00:05:44.010,I,,False
00:06:35.027,F,,False
00:06:57.016,I,,False
00:07:18.504,I,,False
00:07:41.527,F,,False
00:08:06.519,F,,False
00:08:24.504,F,,False
00:09:10.516,-,,False
00:09:15.521,F,,False
00:10:16.282,P,,False
00:11:20.513,I,,False
00:12:18.504,I,,False
00:13:02.515,-,,False
00:13:45.524,I,,False
00:14:04.510,I,,True
00:14:40.346,-,,False
00:15:41.974,P,,False
00:16:43.602,E,,False
00:17:45.230,P,,False
00:18:16.528,F,,False
00:18:39.518,F,,False
00:18:42.521,F,,False
00:19:28.033,-,,False
00:20:16.515,F,,False
00:21:01.526,F,,True
00:21:45.504,E,,False
00:21:50.008,E,,False
00:22:29.648,P,,False
00:23:45.891,-,,False
00:24:24.529,I,,False
00:24:50.021,I,,False
00:25:22.521,I,,False
00:25:29.027,I,,False
00:26:08.266,P,,False
00:26:45.503,E,,False
00:26:54.012,E,,False
00:27:16.635,C,,False
00:27:19.871,C,,False
00:27:23.008,C,,False
00:27:23.141,C,,False
00:27:26.378,C,,False
00:27:29.648,R,,False
00:27:32.884,R,,False
