at,scene-type,scene-subtype,transitional
00:00:02.502,B,,False
00:00:27.894,S,G,False
00:00:36.636,S,G,False
00:00:40.006,S,G,False
00:01:14.507,G,,True
00:01:54.514,P,,False
00:02:41.027,N,,False
00:02:54.007,N,,False
00:02:54.007,N,,False
00:03:16.029,I,,False
00:03:25.004,I,,False
00:03:27.006,I,,False
00:04:23.029,I,,False
00:05:05.438,P,,False
00:06:06.265,P,,False
00:07:07.093,P,,False
00:07:42.261,N,,False
00:07:51.771,N,,False
00:07:52.004,N,,False
00:08:28.708,P,,False
00:09:33.139,P,,False
00:10:37.570,P,,False
00:11:41.967,P,,False
00:12:46.398,P,,False
00:13:50.830,P,,False
00:14:32.504,I,,False
00:15:11.777,P,,False
00:16:27.286,P,,False
00:17:06.525,I,,False
00:17:45.998,P,,False
00:18:46.992,P,,False
00:19:48.020,P,,False
00:20:49.014,P,,False
00:21:50.008,-,,False
00:22:51.002,P,,False
00:23:31.510,N,,False
00:24:07.412,P,,False
00:25:12.210,P,,False
00:26:17.008,-,,False
00:27:21.806,-,,False
00:28:26.604,P,,False
00:29:31.436,P,,False
00:30:36.234,P,,False
00:31:41.032,P,,False
00:32:45.830,-,,False
00:33:50.628,P,,False
00:34:33.504,I,,False
00:35:23.254,P,,False
00:36:16.007,I,,False
00:36:58.749,-,,False
00:38:12.256,P,,False
00:39:25.763,P,,False
00:40:39.270,-,,False
00:41:17.508,I,,False
00:42:30.514,I,,False
00:43:11.021,P,,False
00:44:24.028,P,,False
00:45:37.000,P,,False
00:46:20.010,I,,False
00:46:54.178,P,,False
00:47:56.506,P,,False
00:48:58.802,P,,False
00:50:01.131,P,,False
00:51:03.427,P,,False
00:52:05.755,P,,False
00:53:08.084,P,,False
00:54:10.380,-,,False
00:55:12.709,P,,False
00:56:15.004,P,,False
00:57:17.333,P,,False
00:57:50.333,C,,False
00:57:54.003,C,,False
00:57:57.674,C,,False
00:58:01.344,C,,False
00:58:05.014,C,,False
00:58:08.518,C,,False
00:58:08.685,C,,False
00:58:12.322,C,,False
00:58:15.992,R,,False
00:58:19.662,R,,False
00:58:23.333,R,,False
00:58:27.003,R,,False
00:58:30.673,R,,False
