at,scene-type,scene-subtype,transitional
00:00:00.033,B,,False
00:00:08.508,S,G,False
00:00:10.510,S,G,False
00:00:19.519,S,G,False
00:00:32.031,L,,False
00:01:15.008,Y,,False
00:01:54.013,F,,False
00:02:28.014,G,,False
00:03:05.285,F,,False
00:03:46.526,F,,False
00:04:36.509,I,,False
00:04:49.522,E,,False
00:05:01.000,I,,False
00:05:20.520,I,,False
00:05:40.506,I,,False
00:06:34.026,P,,False
00:07:24.010,I,,True
00:07:48.501,I,,False
00:07:57.510,I,,False
00:08:16.028,G,,True
00:08:17.263,G,,False
00:08:19.765,G,,False
00:08:36.015,F,,False
00:08:44.023,F,,False
00:09:19.525,I,,False
00:10:14.780,-,,False
00:11:20.513,F,,True
00:11:43.002,I,,False
00:12:28.013,F,,False
00:12:43.529,G,,False
00:13:27.273,-,,False
00:14:11.016,F,,False
00:14:57.029,F,,False
00:15:05.004,F,,False
00:15:49.515,I,,False
00:15:55.521,I,,False
00:16:31.023,-,,False
00:17:06.525,I,,False
00:17:18.504,I,,False
00:17:29.014,I,,False
00:18:28.507,G,,False
00:18:36.014,G,,False
00:19:12.518,F,,False
00:19:55.027,G,,True
00:19:56.295,G,,False
00:19:58.797,G,,False
00:20:57.022,I,,False
00:21:43.769,-,,False
00:22:29.514,F,,False
00:23:03.682,-,,False
00:24:11.016,-,,False
00:25:18.350,-,,False
00:25:56.755,C,,False
00:26:02.527,C,,False
00:26:06.264,C,,False
00:26:15.774,C,,False
00:26:25.283,C,,False
00:26:34.793,R,,False
00:26:53.511,G,,False
00:26:58.516,G,,False
