at,scene-type,scene-subtype,transitional
00:00:00.033,B,,False
00:00:13.513,S,D,False
00:00:43.510,-,,False
00:00:53.653,L,,False
00:00:56.022,L,,False
00:01:01.895,L,,False
00:01:32.525,E,,False
00:01:43.269,G,,False
00:01:48.775,G,,False
00:01:50.510,G,,False
00:01:56.516,E,,False
00:02:46.533,F,,False
00:03:12.525,-,,False
00:03:24.504,E,,False
00:03:25.004,E,,False
00:03:33.513,E,,False
00:03:47.527,E,,False
00:04:01.507,I,,False
00:04:34.007,I,,False
00:05:17.016,E,,False
00:06:06.032,I,,False
00:06:44.504,I,,False
00:07:46.766,E,,False
00:08:47.026,E,,False
00:09:01.507,G,,False
00:09:03.342,G,,False
00:09:12.051,G,,False
00:09:20.760,G,,False
00:09:29.468,G,,False
00:09:38.177,G,,False
00:10:05.504,E,,False
00:10:16.015,I,,False
00:11:08.501,E,,False
00:11:24.016,I,,False
00:11:55.514,E,,False
00:12:05.524,I,,False
00:12:56.008,E,,False
00:13:13.526,I,,False
00:13:56.035,P,,False
00:14:40.012,I,,False
00:15:14.513,E,,False
00:15:57.022,E,,False
00:16:28.520,E,,False
00:16:40.165,G,,False
00:16:42.001,G,,False
00:16:47.406,G,,False
00:16:56.882,G,,False
00:17:04.523,G,,False
00:17:04.656,G,,False
00:17:24.510,F,,False
00:17:36.388,E,,False
00:17:45.130,E,,False
00:17:49.001,E,,False
00:17:56.175,E,,False
00:17:58.510,E,,False
00:17:59.511,E,,False
00:18:02.848,E,,False
00:18:11.023,I,,False
00:18:36.014,E,,False
00:18:37.516,E,,False
00:18:40.519,E,,False
00:18:51.029,E,,False
00:19:29.168,E,,False
00:19:37.509,E,,False
00:19:41.413,E,,False
00:19:51.023,I,,False
00:20:06.004,E,,False
00:20:31.530,E,,False
00:20:53.518,E,,False
00:21:25.350,E,,False
00:21:30.522,E,,False
00:21:36.028,E,,False
00:21:46.672,E,,False
00:22:03.021,I,,False
00:22:18.003,E,,False
00:22:30.515,E,,False
00:22:39.024,I,,True
00:23:31.009,E,,False
00:23:56.501,E,,False
00:24:27.499,E,,False
00:24:28.033,E,,False
00:24:36.007,E,,False
00:25:16.014,E,,False
00:25:23.021,E,,False
00:25:28.093,C,,False
00:25:30.529,R,,False
00:25:31.263,R,,False
00:25:34.432,R,,False
