at,scene-label,scene-subtype-label,transitional
00:00:02.001,B,,False
00:00:08.007,S,H,False
00:00:30.030,F,,False
00:00:57.524,F,,False
00:01:40.133,P,,False
00:02:46.399,-,,False
00:03:52.632,-,,False
00:04:58.898,P,,False
00:05:32.031,-,,False
00:06:14.273,P,,False
00:07:35.788,P,,False
00:08:17.530,P,,False
00:08:43.523,F,,False
00:09:18.357,-,,False
00:10:26.025,-,,False
00:11:33.693,-,,False
00:12:10.029,F,,False
00:13:03.015,-,,False
00:13:41.520,-,,False
00:14:17.523,F,,False
00:15:01.033,-,,False
00:16:23.015,-,,False
00:17:06.525,F,,False
00:17:43.796,-,,False
00:18:18.530,-,,False
00:18:51.663,-,,False
00:19:54.893,-,,False
00:20:34.499,F,,False
00:20:42.507,F,,False
00:20:51.016,L,,False
