at,scene-type,scene-subtype,transitional
00:00:00.033,B,,False
00:00:12.879,S,D,False
00:00:15.515,S,D,False
00:00:20.653,S,D,False
00:00:39.506,L,,False
00:00:48.515,M,,False
00:00:53.086,M,,False
00:01:06.232,M,,False
00:01:19.379,F,,False
00:01:32.492,E,,False
00:01:45.638,E,,False
00:01:58.785,G,,False
00:02:11.931,G,,False
00:02:31.518,F,,False
00:02:49.002,G,,False
00:03:09.022,G,,False
00:03:13.526,G,,False
00:03:28.508,G,,False
00:03:35.515,G,,False
00:03:39.018,G,,False
00:04:10.516,I,,False
00:05:08.007,T,,False
00:05:27.026,Y,,True
00:05:33.499,F,,False
00:05:54.020,F,,False
00:06:09.502,F,,False
00:06:44.003,F,,False
00:07:19.005,I,,False
00:07:58.010,P,,False
00:09:08.014,P,,False
00:09:46.519,I,,False
00:10:15.514,I,,False
00:10:59.025,I,,False
00:12:04.023,P,,False
00:13:03.015,F,,False
00:14:05.511,P,,False
00:15:08.507,I,,False
00:15:47.379,P,,False
00:16:58.150,P,,False
00:17:38.023,I,,False
00:18:22.768,P,,False
00:19:08.013,I,,False
00:19:51.023,P,,False
00:21:04.029,P,,False
00:22:17.002,P,,False
00:23:30.008,P,,False
00:24:11.516,I,,False
00:25:02.501,I,,False
00:25:42.774,P,,False
00:26:25.517,I,,False
00:27:07.025,P,,False
00:28:22.000,P,,False
00:29:01.239,C,,False
00:29:04.676,C,,False
00:29:08.113,C,,False
00:29:11.516,C,,False
00:29:11.549,C,,False
00:29:14.953,R,,False
00:29:18.389,R,,False
00:29:21.826,R,,False
00:29:25.263,R,,False
