at,scene-type,scene-subtype,transitional
00:00:06.006,B,,False
00:01:05.598,M,,False
00:01:08.001,M,,False
00:01:08.768,M,,False
00:01:11.938,M,,False
00:02:03.756,-,,False
00:03:04.384,E,,False
00:03:25.138,E,,False
00:03:30.009,E,,False
00:03:54.000,F,,False
00:04:46.019,F,,False
00:05:24.524,-,,False
00:06:01.027,P,,False
00:06:21.514,I,,False
00:06:47.006,P,,False
00:07:01.521,P,,False
00:07:12.031,P,,False
00:08:02.782,P,,False
00:08:53.499,F,,False
00:09:35.508,P,,False
00:09:40.513,P,,False
00:10:27.526,P,,False
00:11:02.528,F,,False
00:11:36.529,-,,False
00:12:10.529,F,,False
00:12:15.000,F,,False
00:13:13.526,F,,False
00:13:50.296,-,,False
00:14:56.795,-,,False
00:16:03.295,-,,False
00:16:38.530,F,,False
00:17:29.782,-,,False
00:18:20.999,-,,False
00:18:25.504,-,,False
00:18:58.637,-,,False
00:19:59.932,-,,False
00:21:01.226,-,,False
00:22:02.521,-,,False
00:23:03.782,-,,False
00:24:05.076,P,,False
00:25:06.371,E,,False
00:25:37.002,-,,False
00:26:27.252,-,,False
00:27:17.802,C,,False
00:27:21.373,C,,False
00:27:24.976,C,,False
00:27:28.546,C,,False
00:27:32.117,C,,False
00:27:35.720,C,,False
00:27:36.021,C,,False
00:27:39.290,C,,False
00:27:42.894,C,,False
00:27:46.464,C,,False
00:27:50.068,C,,False
00:27:53.638,C,,False
00:27:57.208,C,,False
00:28:02.347,C,,False
00:28:06.017,C,,False
00:28:08.520,C,,False
00:28:09.688,S,,False
00:28:13.324,T,,False
00:28:16.995,R,,False
00:28:20.665,R,,False
