at,scene-label,scene-subtype-label,transitional
00:00:01.501,B,,False
00:00:13.013,S,D,False
00:00:15.015,S,D,False
00:00:20.020,S,D,False
00:00:35.101,G,,False
00:00:37.504,G,,False
00:00:38.271,G,,False
00:00:41.441,G,,False
00:00:52.519,M,,False
00:01:34.027,-,,False
00:02:14.501,E,,False
00:02:59.512,I,,False
00:03:13.526,P,,False
00:03:35.515,P,,False
00:04:20.159,-,,False
00:05:46.412,-,,False
00:06:32.525,Y,,False
00:07:31.784,-,,False
00:08:32.511,I,,False
00:09:07.280,P,,False
00:09:38.511,-,,False
00:10:16.582,-,,False
00:11:28.688,P,,False
00:12:40.826,-,,False
00:13:52.932,-,,False
00:14:29.001,E,,False
00:14:52.324,G,,False
00:15:06.906,G,,False
00:15:21.487,G,,False
00:15:36.068,G,,False
00:15:50.649,G,,False
00:15:54.520,G,,False
00:16:05.230,-,,False
00:16:53.012,Y,,False
00:17:33.285,-,,False
00:18:13.025,I,,False
00:19:19.024,I,,False
00:19:57.029,-,,False
00:21:10.035,-,,False
00:22:23.008,-,,False
00:23:04.015,I,,False
00:23:21.500,P,,False
00:23:52.998,P,,False
00:24:53.024,-,,False
00:25:53.018,-,,False
00:26:53.011,-,,False
00:27:53.038,-,,False
00:28:53.031,-,,False
00:29:25.029,R,,False
00:29:26.531,G,,True
00:29:28.399,G,,False
00:29:32.137,G,,False
