at,scene-type,scene-subtype,transitional
00:00:02.502,B,,False
00:00:14.381,S,G,False
00:00:24.157,S,G,False
00:00:25.525,S,G,False
00:00:47.013,L,,False
00:00:53.019,O,,False
00:01:00.527,G,,False
00:01:27.020,Y,,False
00:01:59.018,F,,False
00:02:30.783,P,,False
00:03:32.278,-,,False
00:04:05.511,F,,False
00:04:09.015,F,,False
00:04:29.502,-,,False
00:04:57.030,-,,False
00:05:32.465,-,,False
00:06:39.298,-,,False
00:07:46.132,-,,False
00:08:52.932,-,,False
00:09:59.765,-,,False
00:11:06.599,-,,False
00:11:43.002,Y,,False
00:12:14.834,-,,False
00:13:16.462,-,,False
00:14:18.090,-,,False
00:15:19.718,-,,False
00:16:21.347,P,,False
00:17:22.975,-,,False
00:18:24.603,P,,False
00:19:26.231,-,,False
00:19:57.029,Y,,False
00:20:37.769,G,,False
00:20:51.283,G,,False
00:20:54.019,G,,False
00:21:28.220,-,,False
00:22:28.580,-,,False
00:23:28.974,-,,False
00:24:29.334,-,,False
00:25:04.503,F,,False
00:25:45.010,F,,False
00:25:49.014,F,,False
00:26:28.219,P,,False
00:27:42.594,-,,False
00:28:56.968,-,,False
00:30:11.342,-,,False
00:30:49.514,F,,False
00:31:25.016,-,,False
00:31:58.516,Y,,False
00:32:00.285,Y,,False
00:32:03.788,Y,,False
00:32:38.189,-,,False
00:33:43.488,-,,False
00:34:48.786,-,,False
00:35:54.085,-,,False
00:36:59.383,-,,False
00:37:32.016,Y,,False
00:38:30.041,-,,False
00:39:27.498,E,,False
00:39:38.008,E,,False
00:40:14.211,-,,False
00:41:18.576,-,,False
00:42:22.940,-,,False
00:43:27.304,P,,False
00:44:00.504,Y,,False
00:44:33.370,-,,False
00:45:38.068,-,,False
00:46:42.800,-,,False
00:47:47.531,P,,False
00:48:52.229,P,,False
00:49:56.960,P,,False
00:51:01.658,-,,False
00:51:36.526,Y,,False
00:52:09.025,-,,False
00:53:10.020,P,,False
00:54:11.014,P,,False
00:55:12.042,-,,False
00:56:13.036,-,,False
00:57:14.030,-,,False
00:57:47.997,C,,False
00:57:52.502,C,,False
00:58:02.278,C,,False
00:58:05.849,C,,False
00:58:09.385,C,,False
00:58:12.922,C,,False
00:58:16.459,C,,False
00:58:16.526,C,,False
00:58:20.029,C,,False
00:58:23.566,C,,False
00:58:27.103,C,,False
00:58:30.640,C,,False
00:58:34.210,C,,False
00:58:37.747,C,,False
00:58:48.691,T,,False
00:58:51.027,T,,False
00:58:52.028,T,,False
00:58:55.331,T,,False
00:58:58.501,T,,False
00:59:00.370,T,,False
00:59:04.140,T,,False
