at,scene-type,scene-subtype,transitional
00:00:02.502,B,,False
00:00:16.883,S,D,False
00:00:26.659,S,D,False
00:00:28.028,S,D,False
00:00:44.511,-,,False
00:00:48.515,G,,False
00:01:18.511,O,,False
00:01:28.521,M,,False
00:02:16.002,F,,False
00:03:14.527,F,,False
00:03:58.504,I,,False
00:04:24.530,G,,False
00:04:33.506,G,,False
00:04:40.013,G,,False
00:05:02.001,G,,False
00:05:55.521,Y,,False
00:06:37.530,Y,,False
00:06:58.518,Y,,False
00:07:31.517,I,,False
00:07:44.530,Y,,False
00:07:48.501,Y,,False
00:08:02.515,Y,,False
00:08:18.531,F,,False
00:08:19.532,F,,True
00:08:21.501,Y,,False
00:08:28.007,I,,False
00:09:05.511,I,,False
00:09:56.762,-,,False
00:10:50.016,F,,False
00:11:01.027,F,,False
00:11:53.646,-,,False
00:13:22.902,P,,False
00:14:07.513,-,,False
00:14:20.025,F,,False
00:15:14.013,E,,False
00:16:16.508,F,,False
00:16:47.506,P,,False
00:17:49.501,-,,False
00:18:24.503,F,,False
00:18:34.513,F,,False
00:19:19.024,F,,False
00:19:29.501,I,,False
00:20:04.503,F,,False
00:20:28.527,I,,False
00:21:20.545,P,,False
00:22:10.529,I,,False
00:22:50.001,I,,False
00:23:46.525,-,,False
00:23:53.031,-,,False
00:24:38.510,F,,False
00:25:15.013,I,,False
00:25:28.527,-,,False
00:25:38.003,F,,False
00:25:42.007,I,,False
00:25:57.522,F,,False
00:26:19.511,F,,False
00:26:40.031,F,,False
00:27:26.645,-,,False
00:28:51.896,-,,False
00:29:37.509,I,,False
00:30:12.877,-,,False
00:31:21.646,-,,False
00:32:30.381,-,,False
00:33:39.150,P,,False
00:34:17.522,F,,False
00:34:58.529,F,,False
00:35:44.509,F,,False
00:36:32.023,-,,False
00:37:23.007,F,,False
00:38:09.520,-,,False
00:38:56.500,F,,False
00:39:37.641,P,,False
00:40:49.880,-,,False
00:42:02.152,-,,False
00:43:14.391,-,,False
00:43:52.529,F,,False
00:44:53.023,-,,False
00:45:53.016,I,,False
00:45:58.021,I,,False
00:46:33.190,-,,False
00:47:38.522,-,,False
00:48:43.854,-,,False
00:49:18.522,-,,False
00:49:51.855,-,,False
00:50:58.522,-,,False
00:52:05.188,-,,False
00:52:40.357,C,,False
00:52:44.027,C,,False
00:52:47.731,C,,False
00:52:51.401,C,,False
00:52:55.071,C,,False
00:52:58.742,C,,False
00:53:02.412,C,,False
00:53:02.512,C,,False
00:53:06.116,C,,False
00:53:09.786,C,,False
00:53:13.456,C,,False
00:53:17.127,C,,False
00:53:20.797,C,,False
00:53:24.501,C,,False
00:53:28.171,C,,False
00:53:32.509,R,,False
00:53:38.515,R,,False
