at,scene-type,scene-subtype,transitional
00:00:00.500,B,,False
00:00:15.882,S,D,False
00:00:20.020,S,D,False
00:00:25.658,S,D,False
00:00:46.012,-,,False
00:00:49.516,-,,False
00:00:53.787,L,,False
00:01:02.295,L,,False
00:01:34.527,F,,True
00:01:52.512,E,,False
00:02:31.017,M,,False
00:02:51.504,I,,False
00:03:07.020,I,,False
00:03:28.007,I,,False
00:03:39.018,N,,False
00:04:24.030,I,,False
00:04:31.404,T,,False
00:04:42.148,E,,False
00:04:45.518,E,,False
00:05:13.012,I,,False
00:05:40.506,I,,False
00:05:59.525,Y,,True
00:06:22.515,I,,False
00:06:35.528,F,,False
00:06:52.011,I,,False
00:07:00.520,I,,False
00:07:49.502,I,,False
00:08:31.777,P,,False
00:09:12.518,I,,False
00:09:58.030,F,,False
00:10:32.531,-,,False
00:11:11.003,I,,False
00:11:59.518,I,,False
00:12:37.523,I,,False
00:13:16.295,P,,False
00:13:51.030,I,,False
00:14:42.514,I,,False
00:14:55.027,E,,False
00:15:49.281,P,,False
00:16:45.504,-,,False
00:17:49.001,I,,False
00:18:51.530,I,,False
00:19:07.513,I,,False
00:19:22.027,I,,False
00:20:06.004,F,,False
00:20:09.007,I,,False
00:20:50.282,F,,False
00:21:29.021,I,,False
00:22:11.897,-,,False
00:23:32.644,P,,False
00:24:14.519,I,,False
00:24:26.531,I,,False
00:25:11.510,I,,False
00:25:49.514,I,,False
00:26:24.015,I,,False
00:26:48.506,P,,False
00:26:55.013,F,,False
00:27:17.502,I,,False
00:27:30.015,G,,False
00:27:43.528,G,,False
00:28:15.026,T,,False
00:28:30.508,E,,False
00:28:53.031,G,,False
00:28:58.002,I,,False
00:29:17.522,I,,False
00:29:35.507,E,,False
00:29:41.513,T,,False
00:30:05.503,F,,False
00:30:32.530,I,,False
00:30:51.516,E,,False
00:31:47.505,F,,False
00:32:32.016,I,,False
00:32:53.004,T,,False
00:33:10.021,T,,False
00:33:13.524,T,,False
00:34:15.520,I,,False
00:35:16.514,I,,False
00:36:07.532,P,,False
00:36:59.016,I,,False
00:37:32.516,F,,False
00:38:36.514,-,,False
00:39:11.015,I,,False
00:39:27.498,F,,False
00:40:00.998,I,,False
00:40:41.372,-,,False
00:41:55.145,P,,False
00:42:33.517,F,,False
00:42:39.523,I,,False
00:43:19.029,I,,False
00:44:14.518,I,,False
00:44:46.016,I,,False
00:45:23.020,I,,False
00:45:55.018,I,,False
00:46:44.001,I,,False
00:47:05.522,I,,False
00:48:03.013,F,,False
00:48:12.022,F,,False
00:48:19.529,F,,False
00:48:39.516,E,,False
00:48:58.502,I,,False
00:49:39.776,-,,False
00:50:18.015,I,,False
00:50:54.518,-,,False
00:51:28.018,F,,False
00:51:46.002,I,,False
00:52:03.019,I,,True
00:52:19.503,I,,False
00:52:46.029,I,,False
00:53:21.998,I,,True
00:53:41.518,I,,False
00:54:04.507,I,,False
00:54:26.029,I,,True
00:54:34.504,P,,False
00:55:05.502,I,,False
00:55:50.013,-,,False
00:56:36.025,I,,False
00:57:34.417,C,,False
00:57:38.188,C,,False
00:57:41.991,C,,False
00:57:44.527,C,,False
00:57:45.762,C,,False
00:57:49.532,C,,False
00:57:53.336,C,,False
00:57:57.106,C,,False
00:58:07.517,C,,False
00:58:14.023,C,,False
00:58:23.333,R,,False
00:58:34.978,L,,False
00:58:46.589,G,,False
00:58:56.499,-,,False
00:58:58.201,L,,False
