at,scene-type,scene-subtype,transitional
00:00:01.000,B,,False
00:00:07.841,S,G,False
00:00:11.544,S,G,False
00:00:15.215,S,G,False
00:00:18.018,S,G,False
00:00:18.918,S,G,False
00:00:22.589,S,G,False
00:00:26.292,S,G,False
00:00:29.963,S,G,False
00:00:33.666,S,G,False
00:00:58.525,G,,False
00:01:08.001,L,,False
00:01:16.509,G,,False
00:01:19.012,G,,False
00:01:36.529,I,,False
00:02:01.521,Y,,False
00:02:14.501,-,,False
00:02:31.017,F,,False
00:02:52.005,F,,False
00:03:00.513,F,,False
00:03:06.019,I,,False
00:03:23.503,F,,False
00:03:35.014,F,,False
00:03:43.022,-,,False
00:04:32.505,I,,False
00:04:33.506,I,,False
00:04:44.517,I,,False
00:05:22.021,I,,False
00:06:16.776,-,,False
00:07:11.030,I,,False
00:07:34.020,I,,False
00:08:33.513,I,,False
00:09:10.016,I,,False
00:09:45.518,P,,False
00:10:21.520,I,,False
00:11:07.767,P,,False
00:11:56.515,I,,False
00:12:42.261,P,,False
00:14:10.783,P,,False
00:15:00.766,Y,,False
00:15:02.501,Y,,False
00:15:12.278,Y,,False
00:15:46.512,L,,False
00:15:51.016,P,,True
00:16:14.506,G,,False
00:16:23.015,G,,False
00:16:33.592,G,,False
00:16:41.767,G,,False
00:16:48.507,G,,False
00:16:49.942,G,,False
00:17:21.507,I,,False
00:18:18.530,I,,False
00:19:02.508,I,,False
00:19:40.646,-,,False
00:20:48.880,-,,False
00:21:27.019,I,,False
00:22:18.770,-,,False
00:23:15.527,I,,False
00:23:49.795,-,,False
00:24:56.294,P,,False
00:25:32.531,F,,False
00:26:22.514,F,,False
00:26:28.520,I,,False
00:26:44.002,F,,False
00:27:28.013,-,,False
00:28:11.022,I,,False
00:28:56.000,Y,,False
00:29:31.402,Y,,False
00:29:31.503,Y,,False
00:29:44.149,Y,,False
