at,scene-label,scene-subtype-label,transitional
00:00:00.033,B,,False
00:00:16.015,S,D,False
00:00:34.000,P,,False
00:01:27.020,F,,False
00:02:18.004,F,,True
00:02:29.516,F,,False
00:03:32.011,F,,True
00:03:43.022,F,,False
00:03:47.026,F,,False
00:04:01.007,F,,False
00:04:07.513,M,,False
00:04:41.514,Y,,False
00:04:58.531,G,,False
00:05:05.004,I,,False
00:05:49.515,-,,False
00:07:12.498,-,,False
00:07:57.009,I,,False
00:08:49.529,F,,False
00:09:42.014,G,,True
00:09:43.382,G,,False
00:09:46.152,G,,False
00:09:53.025,I,,False
00:10:18.017,F,,False
00:10:32.531,F,,False
00:11:04.530,F,,False
00:11:12.638,F,,False
00:11:33.893,F,,False
00:12:36.522,F,,False
00:12:49.502,I,,False
00:13:34.146,-,,False
00:15:00.399,-,,False
00:16:00.025,F,,False
00:16:36.528,F,,False
00:17:30.783,F,,False
00:18:21.500,G,,False
00:18:28.006,I,,False
00:18:59.004,F,,False
00:19:30.002,F,,False
00:20:14.279,-,,False
00:20:53.018,I,,False
00:21:12.004,F,,False
00:21:47.005,P,,False
00:22:23.508,F,,False
00:22:32.517,F,,False
00:23:05.517,-,,False
00:23:38.517,G,,False
00:23:45.524,F,,False
00:23:51.530,F,,False
00:23:56.501,I,,False
00:24:11.016,F,,False
00:25:11.009,Y,,False
00:25:27.526,F,,False
00:25:59.357,-,,False
00:27:02.020,-,,False
00:28:04.683,P,,False
00:28:36.514,Y,,False
00:29:02.006,G,,False
00:29:38.777,-,,False
00:30:50.281,-,,False
00:31:27.518,G,,False
00:32:27.011,F,,False
00:32:35.520,F,,False
00:32:49.500,F,,False
00:33:00.511,F,,False
00:33:51.529,Y,,False
00:34:07.011,P,,False
00:34:44.515,-,,False
00:35:21.519,Y,,False
00:35:29.527,F,,False
00:36:09.000,-,,False
00:37:19.003,F,,False
00:37:55.506,-,,False
00:38:13.024,-,,False
00:38:31.008,F,,False
00:39:08.279,P,,False
00:40:22.787,-,,False
00:41:04.028,-,,False
00:41:08.766,-,,False
00:41:26.283,-,,False
00:41:37.528,G,,True
00:41:38.662,G,,False
00:41:40.898,G,,False
00:42:37.521,-,,False
00:43:15.526,-,,False
00:44:21.525,-,,False
00:45:27.524,G,,False
00:46:33.524,-,,False
00:47:06.523,Y,,False
00:47:31.515,-,,False
00:48:20.998,F,,False
00:48:38.015,Y,,False
00:49:26.263,-,,False
00:50:55.752,-,,False
00:51:40.497,G,,True
00:51:41.631,G,,False
00:51:43.867,G,,False
00:52:18.268,F,,False
00:53:24.768,-,,False
00:54:31.268,-,,False
00:55:37.767,-,,False
00:56:44.267,-,,False
00:57:50.767,P,,False
00:58:57.233,-,,False
00:59:36.005,G,,False
01:00:17.080,P,,False
01:01:23.179,-,,False
01:02:29.278,-,,False
01:03:35.378,-,,False
01:04:41.477,-,,False
01:05:14.510,G,,True
01:05:15.645,G,,False
01:05:17.880,G,,False
01:05:53.516,F,,False
01:06:39.028,-,,False
01:07:25.007,I,,False
01:07:33.015,I,,False
01:07:56.005,F,,False
01:08:12.521,I,,False
01:09:12.281,-,,False
01:10:11.006,N,,False
01:11:00.022,-,,False
01:11:49.004,F,,False
01:12:22.371,F,,False
01:13:28.137,-,,False
01:14:04.506,F,,False
01:14:48.784,-,,False
01:15:31.527,-,,False
01:16:29.518,G,,False
01:16:30.519,G,,False
01:16:32.521,G,,False
01:16:38.026,I,,False
01:16:56.511,F,,False
01:17:53.268,-,,False
01:18:47.522,-,,False
01:18:48.890,G,,False
01:18:51.660,G,,False
01:19:18.019,E,,False
01:19:42.511,C,,False
01:20:12.507,C,,False
01:20:22.017,C,,False
01:20:34.996,-,,False
01:21:08.997,P,,False
01:22:15.997,P,,False
01:22:54.002,-,,False
01:23:06.514,-,,False
01:23:44.085,-,,False
01:24:56.191,-,,False
01:26:08.329,P,,False
01:27:20.435,P,,False
01:27:56.504,-,,False
