at,scene-label,scene-subtype-label,transitional
00:00:07.507,B,,False
00:00:33.033,S,G,False
00:00:39.506,M,,False
00:01:02.529,M,,False
00:01:06.533,G,,False
00:01:34.527,L,,False
00:02:23.776,Y,,False
00:03:14.527,Y,,False
00:03:52.165,Y,,False
00:04:00.406,Y,,False
00:04:03.509,Y,,False
00:04:39.012,G,,False
00:05:02.001,F,,False
00:05:54.020,G,,False
00:06:23.015,F,,False
00:06:37.530,F,,False
00:06:53.513,F,,False
00:06:59.018,F,,False
00:07:24.510,G,,False
00:08:09.021,-,,False
00:08:19.031,G,,False
00:08:25.004,G,,False
00:08:43.022,G,,False
00:09:21.260,-,,False
00:10:37.770,E,,False
00:11:21.013,F,,False
00:11:40.032,-,,False
00:11:59.018,M,,False
00:12:14.667,G,,True
00:12:23.509,G,,False
00:12:25.911,G,,False
00:12:34.019,M,,False
00:13:11.524,G,,False
00:14:00.506,F,,False
00:14:58.764,F,,False
00:16:01.026,G,,False
00:16:54.513,G,,False
00:17:36.021,G,,False
00:18:25.003,G,,False
00:18:28.006,T,,False
00:18:31.510,G,,False
00:18:50.529,F,,False
00:19:00.506,G,,False
00:19:16.021,N,,False
00:19:54.526,F,,False
00:20:11.009,T,,False
00:20:51.016,P,,False
00:21:31.523,Y,,False
00:22:29.014,G,,False
00:22:44.529,F,,False
00:23:31.777,G,,False
00:24:23.028,F,,True
00:25:13.011,G,,False
00:25:55.520,G,,False
00:26:04.029,G,,True
00:26:05.897,G,,False
00:26:09.634,G,,False
00:26:20.011,F,,True
00:26:24.015,F,,False
00:26:40.031,L,,False
00:26:43.501,-,,False
00:27:01.519,C,,False
