at,scene-label,scene-subtype-label,transitional
00:00:08.508,L,,False
00:00:17.017,O,,False
00:00:36.002,M,,False
00:01:11.771,-,,False
00:01:49.008,I,,False
00:02:16.503,I,,False
00:02:56.109,-,,False
00:04:12.285,-,,False
00:05:28.461,P,,False
00:06:08.501,I,,False
00:06:45.004,Y,,False
00:07:07.527,I,,False
00:07:43.663,-,,False
00:08:50.897,P,,False
00:09:26.999,G,,False
00:10:03.002,I,,False
00:10:55.521,F,,False
00:11:22.014,F,,False
00:11:30.022,F,,False
00:11:47.006,F,,False
00:12:28.013,F,,False
00:12:39.024,-,,False
00:12:47.500,I,,False
00:12:55.508,P,,False
00:13:06.018,P,,False
00:13:22.501,P,,False
00:13:42.021,I,,False
00:14:18.290,P,,False
00:14:58.030,Y,,False
00:15:29.028,P,,False
00:16:16.008,-,,False
00:16:47.006,F,,False
00:17:22.007,-,,False
00:17:58.510,I,,False
00:18:57.503,I,,False
00:19:41.013,I,,False
00:20:21.220,P,,False
00:21:35.594,-,,False
00:22:49.968,-,,False
00:24:04.342,-,,False
00:24:43.281,G,,False
00:24:45.517,G,,False
00:24:46.785,G,,False
00:24:50.288,G,,False
00:24:57.529,F,,False
00:25:18.517,C,,False
00:25:22.521,C,,False
00:25:52.017,C,,False
00:26:00.525,C,,False
00:26:07.499,C,,False
