at,scene-label,scene-subtype-label,transitional
00:00:08.007,B,,False
00:01:19.512,S,G,False
00:02:06.526,G,,False
00:02:50.002,P,,False
00:03:26.005,G,,False
00:03:31.010,G,,False
00:03:58.004,E,,False
00:04:33.506,-,,False
00:05:41.507,P,,False
00:06:49.508,-,,False
00:07:25.010,-,,False
00:07:46.031,G,,False
00:08:27.506,-,,False
00:09:07.513,T,,False
00:09:45.017,-,,False
00:10:56.021,-,,False
00:12:06.992,P,,False
00:13:17.996,-,,False
00:13:55.000,G,,False
00:14:25.497,P,,False
00:15:25.490,P,,False
00:16:25.517,-,,False
00:17:25.510,P,,False
00:18:25.504,P,,False
00:18:59.504,G,,False
00:19:34.206,P,,False
00:20:40.639,T,,False
00:21:47.038,-,,False
00:22:53.471,P,,False
00:23:59.871,P,,False
00:25:06.304,-,,False
00:25:39.504,-,,False
00:26:12.637,-,,False
00:27:14.899,P,,False
00:27:47.765,G,,False
00:27:50.001,G,,False
00:27:51.269,G,,False
00:27:54.772,G,,False
00:27:58.276,G,,False
00:28:28.506,G,,False
00:29:10.648,C,,False
00:29:13.017,C,,False
00:29:13.885,C,,False
00:29:17.155,C,,False
00:29:20.391,C,,False
00:29:24.028,R,,False
00:29:25.163,R,,False
00:29:27.398,R,,False
00:30:19.517,-,,False
