at,scene-type,scene-subtype,transitional
00:00:01.000,B,,False
00:00:23.189,S,D,False
00:00:31.531,S,D,False
00:00:39.839,S,D,False
00:00:48.181,S,D,False
00:00:56.489,S,D,False
00:01:04.531,S,D,False
00:01:04.831,S,D,False
00:01:20.513,G,,True
00:01:28.021,M,,False
00:01:37.897,G,,False
00:01:38.031,G,,False
00:01:46.639,G,,False
00:01:55.515,G,,False
00:01:56.783,G,,False
00:01:59.285,G,,False
00:02:09.529,L,,False
00:02:14.501,G,,False
00:02:28.681,L,,False
00:02:42.028,E,,False
00:02:51.004,E,,False
00:02:55.341,E,,False
00:03:08.688,E,,False
00:03:22.001,E,,False
00:03:35.348,E,,False
00:03:48.027,I,,False
00:04:04.010,I,,False
00:04:29.269,E,,False
00:04:37.777,E,,False
00:04:38.011,E,,False
00:05:05.772,E,,False
00:05:20.286,E,,False
00:05:34.767,E,,False
00:05:39.005,E,,False
00:05:49.382,E,,False
00:06:01.127,E,,False
00:06:06.999,E,,False
00:06:12.905,E,,False
00:06:24.650,E,,False
00:06:36.028,G,,False
00:07:05.024,I,,False
00:07:13.032,F,,False
00:07:43.029,-,,False
00:07:46.032,-,,False
00:08:05.518,T,,False
00:08:18.531,I,,False
00:08:37.517,F,,False
00:09:16.289,P,,False
00:09:56.028,G,,False
00:09:58.898,G,,False
00:10:09.642,G,,False
00:11:01.527,F,,False
00:11:14.507,I,,False
00:12:04.523,P,,False
00:13:00.012,E,,False
00:13:42.521,-,,False
00:14:26.999,I,,False
00:14:56.028,F,,False
00:15:04.503,I,,False
00:15:41.507,T,,False
00:16:08.500,P,,False
00:16:32.524,T,,False
00:16:43.502,I,,False
00:16:54.013,T,,False
00:17:52.004,T,,False
00:18:07.019,I,,False
00:18:45.791,P,,False
00:19:26.031,T,,False
00:19:39.511,I,,False
00:19:55.027,T,,False
00:20:29.027,T,,False
00:21:35.027,T,,False
00:21:37.896,T,,False
00:21:52.644,T,,False
00:22:08.026,I,,False
00:22:49.267,P,,False
00:23:33.879,T,,False
00:23:39.518,T,,False
00:23:41.653,T,,False
00:23:50.529,I,,False
00:24:43.515,T,,False
00:25:30.028,T,,False
00:25:33.765,T,,False
00:25:45.277,T,,False
00:25:54.519,I,,False
00:26:31.289,P,,False
00:27:13.498,T,,False
00:28:17.028,T,,False
00:28:27.505,I,,False
00:29:01.005,P,,False
00:29:11.015,T,,False
00:30:08.506,G,,False
00:30:19.017,E,,False
00:30:26.024,E,,False
00:30:32.997,E,,False
00:31:17.508,I,,False
00:32:00.752,-,,False
00:33:21.265,-,,False
00:34:03.508,I,,False
00:34:18.022,F,,False
00:34:42.947,U,,False
00:34:45.516,U,,False
00:34:45.783,U,,False
00:34:48.619,U,,False
00:35:41.506,E,,False
00:36:20.011,F,,False
00:36:46.504,U,,False
00:37:14.498,U,,False
00:37:15.766,U,,False
00:37:29.280,U,,False
00:38:32.510,-,,False
00:39:29.500,I,,False
00:40:09.006,F,,False
00:41:17.007,I,,False
00:41:48.005,I,,False
00:42:40.758,E,,False
00:43:31.008,M,,False
00:43:48.525,E,,False
00:43:55.499,I,,False
00:44:20.524,E,,False
00:44:44.014,I,,False
00:45:29.526,P,,False
00:46:16.006,E,,False
00:47:17.668,T,,False
00:47:26.009,I,,False
00:47:31.915,T,,False
00:48:01.511,I,,False
00:48:31.008,E,,False
00:48:38.515,E,,False
00:48:51.028,I,,False
00:49:04.007,E,,False
00:49:14.518,E,,False
00:49:24.528,E,,False
00:50:07.771,P,,False
00:50:51.515,E,,False
00:51:30.654,P,,False
00:52:47.898,P,,False
00:53:27.003,E,,False
00:54:04.507,E,,False
00:54:16.019,E,,False
00:54:56.793,F,,False
00:55:31.027,E,,False
00:56:05.462,T,,False
00:56:18.341,E,,False
00:56:31.221,E,,False
00:56:41.498,E,,False
00:56:44.067,E,,False
00:56:58.014,T,,False
00:56:59.649,-,,False
00:57:02.886,G,,False
00:57:15.498,L,,False
00:57:32.882,G,,False
00:57:38.021,R,,False
00:57:45.628,G,,False
00:57:55.505,L,,False
00:58:03.513,G,,False
00:58:38.515,-,,False
00:59:45.515,-,,False
01:00:21.517,B,,False
01:01:03.159,S,D,False
01:01:03.526,S,D,False
01:01:11.401,S,D,False
