at,scene-type,scene-subtype,transitional
00:00:02.001,B,,False
00:00:54.721,S,D,False
00:01:03.129,S,D,False
00:01:11.504,S,D,False
00:01:19.913,S,D,False
00:01:28.321,S,D,False
00:01:32.025,S,D,False
00:02:02.021,M,,False
00:02:16.503,E,,False
00:02:59.012,L,,False
00:03:46.025,I,,False
00:04:38.278,E,,False
00:05:32.031,P,,False
00:05:38.504,P,,False
00:06:16.642,E,,False
00:07:27.880,P,,False
00:08:06.018,I,,False
00:08:43.289,P,,False
00:09:50.790,P,,False
00:10:27.026,I,,False
00:11:01.027,I,,False
00:11:36.662,P,,False
00:12:41.894,P,,False
00:13:14.527,I,,False
00:14:02.408,P,,False
00:15:28.127,P,,False
00:16:13.505,E,,False
00:17:00.786,P,,False
00:17:48.000,I,,False
00:18:45.257,P,,False
00:19:40.512,I,,False
00:20:27.759,E,,False
00:21:52.277,E,,False
00:22:38.523,I,,False
00:23:17.763,P,,False
00:23:56.501,I,,False
00:24:45.517,I,,False
00:25:32.764,P,,False
00:26:22.280,E,,False
00:26:31.790,E,,False
00:26:32.023,E,,False
00:27:08.526,P,,False
00:27:41.026,I,,False
00:28:32.510,I,,False
00:29:08.780,P,,False
00:29:46.017,I,,False
00:30:40.772,P,,False
00:31:35.026,P,,False
00:32:14.032,P,,False
00:32:56.007,I,,False
00:33:11.522,I,,False
00:33:56.267,P,,False
00:34:41.512,I,,False
00:35:15.279,E,,False
00:35:48.513,I,,False
00:36:13.504,I,,False
00:36:16.374,I,,False
00:36:26.150,I,,False
00:36:50.508,I,,False
00:37:08.025,I,,False
00:37:39.523,F,,False
00:37:55.506,I,,False
00:38:11.022,I,,False
00:38:51.028,M,,False
00:38:59.003,G,,False
00:39:40.911,E,,False
00:39:51.756,E,,False
00:40:02.600,E,,False
00:40:04.502,E,,False
00:40:20.251,G,,False
00:40:23.687,G,,False
00:40:27.124,G,,False
00:40:30.528,G,,False
00:40:30.561,G,,False
00:40:33.998,G,,False
00:40:37.435,G,,False
00:40:40.838,G,,False
00:40:44.275,G,,False
00:41:15.506,G,,False
00:42:08.025,E,,False
00:42:42.526,G,,False
00:43:31.508,-,,False
00:44:03.007,F,,False
00:44:19.023,F,,False
00:45:00.998,P,,False
00:46:07.030,P,,False
00:46:40.030,I,,False
00:47:19.436,P,,False
00:48:28.272,P,,False
00:49:37.107,P,,False
00:50:16.513,I,,False
00:50:51.782,P,,False
00:52:00.283,P,,False
00:52:37.020,I,,False
00:53:14.524,I,,False
00:53:49.526,I,,False
00:54:29.766,P,,False
00:55:13.510,I,,False
00:55:42.505,I,,False
00:56:18.875,P,,False
00:57:23.640,P,,False
00:58:01.778,E,,False
00:58:13.256,E,,False
00:58:24.501,E,,False
00:58:24.767,E,,False
00:58:36.279,E,,False
00:58:53.997,L,,False
00:59:02.372,L,,False
00:59:06.142,C,,False
00:59:09.879,C,,False
00:59:12.515,C,,False
00:59:13.616,C,,False
00:59:17.387,C,,False
00:59:21.124,C,,False
00:59:24.861,C,,False
00:59:28.631,C,,False
00:59:44.013,L,,False
