at,scene-type,scene-subtype,transitional
00:00:03.003,S,H,False
00:00:06.006,S,H,False
00:00:14.514,S,H,False
00:00:16.516,G,,False
00:00:28.528,G,,False
00:00:56.022,-,,False
00:01:05.031,-,,False
00:01:22.015,-,,False
00:01:58.017,-,,False
00:02:29.015,-,,False
00:02:52.505,-,,False
00:02:58.011,F,,False
00:03:18.531,F,,False
00:03:43.156,-,,False
00:04:00.006,-,,False
00:04:04.410,F,,False
00:04:22.028,-,,False
00:04:27.000,-,,False
00:04:42.815,-,,False
00:04:55.395,-,,False
00:05:07.974,-,,False
00:05:20.553,-,,False
00:05:33.132,-,,False
00:05:36.002,-,,False
00:05:45.712,-,,False
00:06:02.528,-,,False
00:06:10.002,-,,False
00:06:33.526,-,,False
00:07:00.019,-,,False
00:07:08.027,-,,False
00:07:15.501,-,,False
00:07:50.503,-,,False
00:08:02.515,-,,False
00:08:07.019,-,,False
00:08:13.526,-,,False
00:08:35.014,-,,False
00:09:21.527,-,,False
00:09:29.502,-,,False
00:09:31.504,-,,False
00:09:41.013,-,,False
00:09:55.027,-,,False
00:10:14.513,-,,False
00:10:22.521,-,,False
00:10:55.421,-,,False
00:12:01.220,-,,False
00:13:07.019,G,,False
00:14:12.818,-,,False
00:15:18.617,-,,False
00:15:56.522,-,,False
00:16:52.011,-,,False
00:17:51.003,S,H,False
00:17:57.009,S,H,False
00:17:58.010,S,H,False
00:18:41.787,-,,False
00:19:25.764,S,H,False
00:19:31.503,S,H,False
00:19:33.272,S,H,False
00:20:18.517,F,,False
00:20:39.004,-,,False
00:20:41.506,-,,False
00:21:03.528,-,,False
00:21:27.019,F,,False
00:22:07.793,-,,False
00:23:13.291,-,,False
00:23:46.525,F,,False
00:24:04.509,-,,False
00:24:37.008,-,,False
00:25:41.006,-,,False
00:26:45.003,P,,False
00:27:21.139,S,H,False
00:27:22.507,S,H,False
00:27:29.381,S,H,False
00:27:37.022,G,,False
00:27:43.528,F,,False
00:28:45.023,-,,False
00:28:53.031,F,,False
00:29:35.306,P,,False
00:30:46.945,-,,False
00:31:58.583,-,,False
00:33:10.221,-,,False
00:33:49.894,S,H,False
00:33:53.031,S,H,False
00:33:57.635,Y,,False
00:34:33.004,-,,False
00:35:04.502,-,,False
00:35:23.521,-,,False
00:35:54.118,-,,False
00:36:54.278,-,,False
00:37:54.438,-,,False
00:38:28.005,-,,False
00:39:22.259,-,,False
00:40:15.012,-,,False
00:41:16.507,S,H,False
00:41:21.145,S,H,False
00:41:30.387,S,H,False
00:42:10.761,F,,False
00:43:22.266,-,,False
00:44:06.010,F,,False
00:44:58.762,-,,False
00:45:54.017,F,,False
00:46:31.522,F,,False
00:47:10.527,F,,False
00:47:47.164,-,,False
00:48:57.401,-,,False
00:49:33.503,-,,False
00:50:06.970,-,,False
00:51:12.869,-,,False
00:52:18.768,-,,False
00:53:24.668,-,,False
00:54:30.567,-,,False
00:55:04.000,S,H,False
00:55:07.103,S,H,False
00:55:14.277,S,H,False
00:55:21.451,S,H,False
00:56:23.780,-,,False
00:57:23.006,-,,False
00:57:55.004,S,H,False
00:58:00.376,S,H,False
00:58:06.149,S,H,False
00:58:07.517,S,H,False
00:58:51.261,-,,False
00:59:35.505,S,H,False
00:59:51.020,S,H,False
00:59:57.527,G,,False
01:00:37.533,-,,False
01:01:21.110,S,,False
01:01:26.516,S,H,False
01:01:28.284,S,H,False
01:01:35.458,S,H,False
01:01:53.009,I,,False
01:02:30.012,P,,False
01:03:06.516,I,,False
01:03:48.391,P,,False
01:05:11.140,-,,False
01:05:56.018,S,H,False
01:06:03.025,S,H,False
01:06:06.028,S,H,False
01:06:49.772,-,,False
01:07:35.518,E,,False
01:08:33.008,P,,False
01:09:31.500,-,,False
01:10:30.025,P,,False
01:11:29.018,-,,False
01:12:19.535,-,,False
