at,scene-type,scene-subtype,transitional
00:00:00.000,B,,False
00:00:02.002,B,,False
00:00:04.004,B,,False
00:00:06.006,B,,False
00:00:08.008,B,,False
00:00:42.008,B,,False
00:00:54.003,B,,False
00:01:06.015,B,,False
00:01:08.001,B,,False
00:01:10.003,S,H,False
00:01:12.005,S,H,False
00:01:14.007,S,H,False
00:01:16.009,S,H,False
00:01:18.011,S,H,False
00:01:20.013,-,,False
00:01:22.015,-,,False
00:01:24.000,O,,False
00:01:26.002,-,,False
00:01:28.004,O,,False
00:01:30.006,O,,False
00:01:32.008,-,,False
00:01:34.010,-,,False
00:01:36.012,M,,True
00:01:38.014,M,,False
00:01:40.016,M,,False
00:01:42.001,-,,False
00:01:44.003,W,,False
00:01:46.005,W,,False
00:01:48.007,W,,False
00:01:50.009,W,,False
00:01:52.011,M,,True
00:01:54.013,M,,False
00:01:56.015,M,,True
00:01:58.001,P,,False
00:02:00.003,P,,False
00:02:02.005,F,,False
00:02:04.007,-,,False
00:02:06.009,-,,False
00:02:08.011,F,,False
00:02:10.013,-,,False
00:02:12.015,-,,False
00:02:14.000,-,,False
00:02:16.002,-,,False
00:02:18.004,-,,False
00:02:20.006,-,,False
00:02:22.008,F,,False
00:02:24.010,F,,False
00:02:26.012,-,,False
00:02:28.014,-,,False
00:02:30.016,-,,False
00:02:32.001,F,,False
00:02:34.003,-,,False
00:02:36.005,-,,False
00:02:38.007,-,,False
00:02:40.009,-,,False
00:02:42.011,-,,False
00:02:44.013,-,,False
00:02:46.015,-,,False
00:02:48.001,-,,False
00:02:50.003,-,,False
00:02:52.005,-,,False
00:02:54.007,-,,False
00:02:56.009,P,,False
00:02:58.011,P,,False
00:03:00.013,-,,False
00:03:02.015,-,,False
00:03:04.000,F,,False
00:03:06.002,-,,False
00:03:08.004,F,,False
00:03:10.006,-,,False
00:03:12.008,-,,False
00:03:14.010,F,,False
00:03:16.012,F,,False
00:03:18.014,-,,False
00:03:20.016,-,,False
00:03:22.001,-,,False
00:03:24.003,-,,False
00:03:26.005,-,,False
00:03:28.007,-,,False
00:03:30.009,-,,False
00:03:32.011,-,,False
00:03:34.013,-,,False
00:03:36.015,-,,False
00:03:38.001,-,,False
00:03:40.003,-,,False
00:03:42.005,-,,False
00:03:44.007,-,,False
00:03:46.009,-,,False
00:03:48.011,-,,False
00:03:50.013,F,,False
00:03:52.015,F,,False
00:03:54.000,-,,False
00:03:56.002,-,,False
00:03:58.004,-,,False
00:04:00.006,-,,False
00:04:02.008,-,,False
00:04:04.010,-,,False
00:04:06.012,-,,False
00:04:08.014,-,,False
00:04:10.016,-,,False
00:04:12.001,-,,False
00:04:14.003,-,,False
00:04:16.005,F,,False
00:04:18.007,F,,False
00:04:20.009,-,,False
00:04:22.011,-,,False
00:04:24.013,-,,False
00:04:26.015,-,,False
00:04:28.001,-,,False
00:04:30.003,-,,False
00:04:32.005,-,,False
00:04:34.007,-,,False
00:04:36.009,P,,False
00:04:38.011,-,,False
00:04:40.013,-,,False
00:04:42.015,-,,False
00:04:44.000,-,,False
00:04:46.002,P,,False
00:04:48.004,P,,False
00:04:50.006,P,,False
00:04:52.008,P,,False
00:04:54.010,P,,False
00:04:56.012,P,,False
00:04:58.014,P,,False
00:05:00.016,P,,False
00:05:02.001,P,,False
00:05:04.003,P,,False
00:05:06.005,-,,False
00:05:08.007,-,,False
00:05:10.009,-,,False
00:05:12.011,-,,False
00:05:14.013,-,,False
