at,scene-type,scene-subtype,transitional
00:00:01.501,S,H,False
00:00:36.503,L,,False
00:00:49.382,-,,False
00:01:03.129,M,,False
00:01:07.500,M,,False
00:01:44.504,G,,False
00:02:28.781,-,,False
00:03:11.524,I,,False
00:03:56.502,P,,False
00:04:08.014,P,,False
00:04:57.530,F,,False
00:05:57.023,F,,False
00:06:12.505,F,,False
00:06:26.519,I,,False
00:06:49.008,F,,False
00:07:24.277,P,,False
00:08:29.842,-,,False
00:09:35.408,-,,False
00:10:40.973,P,,False
00:11:46.539,P,,False
00:12:52.104,-,,False
00:13:57.670,-,,False
00:15:03.235,-,,False
00:15:41.006,G,,False
00:16:23.682,P,,False
00:17:43.028,-,,False
00:19:02.341,-,,False
00:19:50.022,I,,False
00:20:23.222,P,,False
00:21:29.655,P,,False
00:22:36.054,P,,False
00:23:42.487,P,,False
00:24:48.887,P,,False
00:25:55.320,P,,False
00:26:32.524,I,,False
00:27:46.031,C,,False
00:27:50.301,C,,False
00:27:52.504,C,,False
00:27:53.938,C,,False
00:27:57.575,C,,False
00:28:01.212,C,,False
00:28:26.004,C,,False
00:28:36.781,C,,False
00:28:39.017,C,,False
00:28:40.285,C,,False
00:28:43.788,C,,False
00:28:47.292,C,,False
00:29:20.525,R,,False
00:29:32.504,L,,False
