at,scene-type,scene-subtype,transitional
00:00:13.000,L,,False
00:01:15.000,-,,False
00:02:13.500,F,,False
00:02:51.000,P,,False
00:04:03.000,-,,False
00:05:15.000,P,,False
00:05:52.000,F,,False
00:06:04.000,F,,False
00:06:49.750,P,,False
00:08:05.250,-,,False
00:08:51.000,F,,False
00:09:47.500,-,,False
00:10:41.000,P,,False
00:11:21.000,P,,False
00:11:59.500,F,,False
00:12:38.750,P,,False
00:13:17.000,-,,False
00:13:49.000,-,,False
00:13:53.500,-,,False
00:14:03.500,-,,False
00:15:03.000,P,,False
00:16:03.000,P,,False
00:16:23.500,P,,False
00:17:03.250,E,,False
00:18:19.750,E,,False
00:19:36.250,P,,False
00:20:22.000,P,,False
00:20:28.500,P,,False
00:21:04.750,-,,False
00:21:43.500,F,,False
00:22:14.500,F,,False
00:22:37.500,F,,False
00:22:43.000,F,,False
00:23:24.000,F,,False
00:23:25.000,F,,False
00:23:36.000,F,,False
00:24:30.500,P,,False
00:25:36.000,F,,False
00:25:57.500,F,,False
00:26:16.000,F,,False
00:26:32.000,F,,False
00:27:55.125,C,,False
00:28:00.000,C,,False
00:28:20.375,C,,False
00:28:36.500,L,,False
