at,scene-type,scene-subtype,transitional
00:00:01.000,B,,False
00:01:30.523,-,,False
00:02:07.260,S,H,False
00:02:07.527,S,H,False
00:02:15.768,S,H,False
00:02:41.528,O,,False
00:03:38.518,E,,False
00:03:40.019,E,,False
00:04:01.007,E,,False
00:04:34.507,E,,False
00:04:42.015,E,,False
00:04:57.530,E,,False
00:05:36.002,E,,False
00:05:57.023,E,,False
00:06:16.509,E,,False
00:06:33.025,E,,False
00:06:52.011,E,,False
00:06:54.013,E,,False
00:07:03.022,E,,False
00:07:33.286,P,,False
00:08:33.779,P,,False
00:09:34.273,-,,False
00:10:04.503,E,,False
00:10:38.004,E,,False
00:11:04.530,F,,False
00:11:10.503,E,,False
00:11:53.012,P,,False
00:12:34.019,F,,False
00:12:38.023,F,,False
00:12:39.525,F,,False
00:12:42.528,F,,False
00:12:50.503,F,,False
00:13:00.012,F,,False
00:13:05.518,F,,False
00:13:32.011,F,,False
00:14:16.889,P,,False
00:15:20.653,-,,False
00:15:52.518,E,,False
00:16:28.520,E,,False
00:17:22.508,E,,False
00:17:30.015,E,,False
00:18:16.261,P,,False
00:18:58.504,E,,False
00:19:34.006,P,,False
00:20:10.509,E,,False
00:20:18.517,E,,False
00:20:27.025,E,,False
00:21:26.251,E,,False
00:21:31.523,E,,False
00:21:36.762,E,,False
00:21:47.272,E,,False
00:22:09.528,E,,False
00:22:12.531,E,,False
00:22:16.001,E,,False
00:22:41.026,E,,False
00:23:14.526,E,,False
00:23:25.003,E,,False
00:23:30.509,E,,False
00:23:46.024,E,,False
00:24:20.392,-,,False
00:25:26.157,E,,False
00:26:02.027,E,,False
00:26:07.999,E,,False
00:26:20.011,E,,False
00:26:23.014,E,,False
00:27:05.023,E,,False
00:27:19.504,E,,False
00:27:24.509,E,,False
00:27:54.005,E,,False
00:28:27.005,-,,False
00:29:19.524,E,,False
00:29:22.026,E,,False
00:29:40.011,E,,False
00:29:47.519,E,,False
00:29:58.530,E,,False
00:30:22.020,E,,False
00:30:37.502,E,,False
00:30:54.519,E,,False
00:31:34.759,E,,False
00:32:13.998,E,,False
00:32:20.505,E,,False
00:32:28.513,E,,False
00:32:43.528,E,,False
00:32:59.510,E,,False
00:33:03.514,E,,False
00:33:10.021,E,,False
00:33:19.030,E,,False
00:33:53.264,P,,False
00:35:00.765,E,,False
00:35:37.001,E,,False
00:36:12.637,-,,False
00:37:22.873,E,,False
00:38:01.012,E,,False
00:38:17.528,E,,False
00:38:20.031,E,,False
00:38:52.630,-,,False
00:39:56.894,-,,False
00:40:30.528,E,,False
00:40:33.998,E,,False
00:41:38.028,E,,False
00:41:40.030,E,,False
00:42:24.008,E,,False
00:43:03.514,-,,False
00:43:47.024,E,,False
00:43:54.999,E,,False
00:44:01.005,E,,False
00:44:50.020,E,,False
00:45:17.014,E,,False
00:46:01.024,E,,False
00:46:12.503,E,,False
00:46:21.512,E,,False
00:46:28.519,E,,False
00:46:38.529,E,,False
00:46:57.514,E,,False
00:47:54.771,P,,False
00:48:51.528,E,,False
00:49:38.008,E,,False
00:49:56.526,E,,False
00:50:05.002,E,,False
00:50:48.745,E,,False
00:52:15.265,E,,False
00:53:00.010,E,,False
00:53:06.516,E,,False
00:53:44.688,-,,False
00:55:01.031,P,,False
00:56:17.340,E,,False
00:56:57.013,E,,False
00:57:31.781,-,,False
00:58:41.284,-,,False
00:59:17.720,M,,False
00:59:20.023,C,,False
00:59:21.090,C,,False
00:59:24.460,C,,False
00:59:27.830,C,,False
01:00:13.009,C,,False
01:00:21.017,L,,False
01:00:56.019,-,,False
01:02:06.022,-,,False
01:03:16.025,-,,False
