at,scene-type,scene-subtype,transitional
00:00:15.015,G,,False
00:00:49.516,-,,False
00:01:54.514,-,,False
00:02:59.512,-,,False
00:03:32.011,O,,True
00:03:33.646,O,,False
00:03:36.883,O,,False
00:03:40.520,O,,False
00:04:14.721,-,,False
00:05:16.115,-,,False
00:06:17.510,P,,False
00:07:18.905,-,,False
00:08:20.333,-,,False
00:09:21.727,-,,False
00:10:23.122,P,,False
00:11:24.517,-,,False
00:12:25.911,-,,False
00:13:27.306,-,,False
00:14:02.508,F,,False
00:14:40.446,-,,False
00:15:45.311,-,,False
00:16:50.209,-,,False
00:17:55.074,-,,False
00:18:27.506,G,,False
00:18:34.513,G,,False
00:19:16.522,-,,False
00:20:00.032,F,,False
00:20:20.118,F,,False
00:20:22.521,F,,False
00:20:23.288,F,,False
00:20:26.458,F,,False
00:21:25.017,F,,False
00:21:59.451,-,,False
00:23:07.285,F,,False
00:24:15.120,F,,False
00:25:22.954,-,,False
00:26:30.789,-,,False
00:27:38.623,-,,False
00:28:12.524,F,,True
00:28:48.893,P,,False
00:29:53.658,P,,False
00:30:58.389,-,,False
00:32:03.154,F,,False
00:33:07.885,-,,False
00:34:12.650,-,,False
00:35:17.381,-,,False
00:36:22.146,P,,False
00:36:59.517,F,,False
00:37:39.257,-,,False
00:38:43.721,-,,False
00:39:48.152,-,,False
00:40:52.616,-,,False
00:41:57.047,-,,False
00:43:01.512,-,,False
00:44:05.976,-,,False
00:45:10.407,-,,False
00:46:14.872,-,,False
00:47:19.336,-,,False
00:48:23.767,P,,False
00:48:57.501,F,,False
00:49:05.008,F,,False
00:49:52.022,-,,False
00:50:37.501,F,,False
00:51:19.042,-,,False
00:52:24.141,-,,False
00:53:29.206,-,,False
00:54:34.304,-,,False
00:55:39.369,P,,False
00:56:44.467,-,,False
00:57:18.835,G,,False
00:57:22.505,C,,False
00:57:26.176,C,,False
00:57:29.846,C,,False
00:57:33.516,C,,False
00:57:37.020,-,,False
00:57:37.187,C,,True
00:57:40.824,C,,False
00:57:44.494,C,,False
00:57:48.164,C,,False
00:57:51.835,-,,False
00:57:55.505,C,,False
00:57:59.175,C,,False
00:58:04.314,C,,False
00:58:07.917,C,,False
00:58:11.554,-,,False
00:58:15.158,C,,False
00:58:18.528,C,,False
00:58:18.761,C,,False
00:58:22.365,C,,False
00:58:26.002,C,,False
00:58:29.606,-,,False
00:58:33.209,R,,False
