at,scene-label,scene-subtype-label,transitional
00:00:26.009,S,D,True
00:00:28.244,S,D,False
00:00:35.752,S,D,False
00:00:43.259,S,D,False
00:01:03.012,L,,False
00:01:44.254,M,,False
00:01:47.740,M,,False
00:01:50.510,M,,False
00:01:51.244,M,,False
00:01:54.747,M,,False
00:01:58.251,M,,False
00:02:29.516,E,,False
00:02:33.503,E,,False
00:03:13.009,E,,False
00:03:16.512,E,,False
00:03:25.004,E,,False
00:03:57.320,P,,False
00:04:58.965,P,,False
00:06:00.610,-,,False
00:07:02.255,P,,False
00:08:03.900,P,,False
00:09:05.545,P,,False
00:10:07.206,P,,False
00:11:08.851,-,,False
00:12:10.496,-,,False
00:13:12.141,P,,False
00:14:13.786,P,,False
00:15:15.431,P,,False
00:16:17.076,P,,False
00:17:18.721,P,,False
00:18:20.365,-,,False
00:19:22.010,-,,False
00:20:23.655,P,,False
00:20:54.503,E,,False
00:21:26.034,-,,False
00:22:26.128,P,,False
00:23:26.204,E,,False
00:24:26.298,P,,False
00:25:26.374,F,,False
00:26:26.468,-,,False
00:26:56.998,E,,False
00:27:22.507,E,,False
00:27:55.523,P,,False
00:28:58.570,P,,False
00:30:01.633,P,,False
00:31:04.679,P,,False
00:32:07.725,P,,False
00:33:10.772,P,,False
00:34:13.818,P,,False
00:35:16.864,-,,False
00:36:19.927,P,,False
00:37:22.974,P,,False
00:37:55.506,E,,False
00:38:27.221,P,,False
00:39:29.650,P,,False
00:40:32.096,-,,False
00:41:34.525,P,,False
00:42:36.971,P,,False
00:43:39.400,P,,False
00:44:41.845,P,,False
00:45:44.274,P,,False
00:46:16.006,E,,False
00:46:48.088,P,,False
00:47:49.249,P,,False
00:48:50.427,-,,False
00:49:51.588,P,,False
00:50:52.749,P,,False
00:51:53.910,P,,False
00:52:55.088,P,,False
00:53:56.249,-,,False
00:54:57.410,P,,False
00:55:58.588,P,,False
00:56:59.749,P,,False
00:58:00.910,P,,False
00:58:31.508,C,,False
00:58:32.625,C,,False
00:58:34.878,C,,False
00:58:42.502,C,,False
00:58:43.870,C,,False
00:58:46.623,C,,False
00:58:49.509,C,,False
00:58:50.877,C,,False
00:58:53.630,C,,False
00:59:10.496,L,,False
