at,scene-type,scene-subtype,transitional
00:00:14.014,S,D,False
00:00:22.022,-,,False
00:00:45.011,-,,False
00:01:08.001,-,,False
00:01:18.011,-,,False
00:01:54.013,M,,False
00:02:27.280,-,,False
00:02:58.511,F,,False
00:03:22.502,F,,False
00:03:31.511,F,,False
00:03:40.520,F,,False
00:03:52.532,-,,False
00:04:19.525,-,,False
00:05:15.014,F,,False
00:05:45.511,-,,False
00:05:53.019,-,,False
00:06:08.501,F,,False
00:06:14.006,-,,False
00:06:46.005,-,,False
00:07:01.521,-,,False
00:07:05.525,-,,False
00:07:16.002,-,,False
00:07:25.011,-,,False
00:07:34.020,-,,False
00:08:14.527,F,,False
00:08:48.027,F,,False
00:08:52.031,F,,False
00:09:28.501,F,,False
00:10:02.501,F,,False
00:11:03.529,-,,False
00:11:34.527,-,,False
00:12:38.524,F,,False
00:12:46.532,F,,False
00:13:01.514,-,,False
00:13:37.516,F,,False
00:14:15.020,F,,False
00:14:21.026,F,,False
00:15:17.016,-,,False
00:16:17.176,C,,False
00:16:27.519,C,,False
00:16:37.830,C,,False
00:16:43.002,R,,False
00:16:47.006,G,,False
00:17:13.031,P,,False
00:17:17.503,M,,False
00:17:26.011,I,,False
00:17:46.999,G,,False
00:17:54.006,G,,False
00:18:09.021,G,,False
00:18:25.504,G,,False
00:19:04.176,-,,False
00:20:19.518,-,,False
00:21:34.860,-,,False
