at,scene-label,scene-subtype-label,transitional
00:00:12.012,B,,False
00:01:17.010,G,,False
00:01:52.011,M,,False
00:02:43.530,L,,False
00:03:10.857,T,,False
00:03:13.526,T,,False
00:03:13.526,T,,False
00:03:16.196,T,,False
00:03:52.398,E,,False
00:05:02.135,P,,False
00:05:37.003,G,,False
00:05:51.517,G,,False
00:05:55.021,T,,False
00:06:48.040,P,,False
00:07:41.527,F,,False
00:08:18.764,E,,False
00:08:55.001,I,,False
00:09:33.506,-,,False
00:10:11.010,I,,False
00:10:54.153,P,,False
00:12:09.395,P,,False
00:12:50.503,F,,False
00:13:00.012,I,,False
00:13:13.025,F,,False
00:14:06.512,-,,False
00:14:55.261,P,,False
00:15:43.509,I,,False
00:16:17.009,P,,False
00:16:54.513,P,,False
00:18:09.521,P,,False
00:18:49.027,I,,False
00:19:54.526,F,,False
00:20:20.018,G,,False
00:20:28.026,G,,False
00:21:27.019,I,,False
00:22:12.397,P,,False
00:23:35.147,P,,False
00:24:19.024,I,,False
00:24:51.890,P,,False
00:25:52.651,P,,False
00:26:27.519,I,,False
00:27:07.292,-,,False
00:27:45.030,F,,False
00:28:07.519,-,,False
00:28:24.502,I,,False
00:29:23.762,P,,False
00:30:24.022,G,,False
00:30:26.524,G,,False
00:30:27.025,G,,False
00:30:30.028,G,,False
00:30:43.308,C,,False
00:30:46.945,C,,False
00:30:50.582,C,,False
00:30:54.185,C,,False
00:30:57.822,C,,False
00:31:01.459,C,,False
00:31:01.526,C,,False
00:31:05.063,C,,False
00:31:08.700,C,,False
00:31:12.337,C,,False
00:31:15.940,C,,False
00:31:19.577,C,,False
00:31:23.181,R,,False
