at,scene-type,scene-subtype,transitional
00:00:04.504,B,,False
00:00:42.375,S,G,False
00:00:55.155,G,,False
00:00:57.524,G,,False
00:01:07.500,L,,False
00:01:48.508,-,,False
00:02:05.525,M,,False
00:02:32.018,F,,False
00:02:37.524,I,,False
00:03:00.513,F,,False
00:03:12.525,-,,False
00:04:01.040,-,,False
00:04:53.526,F,,False
00:05:07.006,I,,False
00:06:05.531,I,,False
00:06:42.001,-,,False
00:07:17.503,I,,False
00:08:07.520,P,,False
00:08:55.001,I,,False
00:09:40.012,P,,False
00:10:27.026,F,,False
00:10:40.506,I,,False
00:10:45.011,E,,False
00:11:45.004,I,,False
00:12:18.504,P,,False
00:12:57.510,-,,False
00:13:15.027,I,,False
00:13:51.530,I,,False
00:14:46.018,I,,False
00:15:40.005,I,,False
00:16:15.774,P,,False
00:16:51.010,-,,False
00:17:06.525,I,,False
00:17:54.039,P,,False
00:18:40.018,E,,False
00:19:15.020,-,,False
00:20:20.018,P,,False
00:20:52.517,F,,False
00:20:53.885,F,,False
00:20:56.655,F,,False
00:21:28.020,I,,False
00:22:09.027,E,,False
00:22:20.505,I,,False
00:22:43.028,I,,False
00:23:13.024,I,,False
00:23:58.503,F,,False
00:24:03.508,I,,False
00:24:33.004,F,,False
00:25:20.018,F,,False
00:25:25.524,I,,False
00:25:48.513,I,,False
00:26:43.501,I,,False
00:27:25.010,P,,False
00:28:07.018,I,,False
00:28:25.503,F,,False
00:28:37.515,F,,False
00:29:28.500,I,,False
00:29:50.522,I,,False
00:30:21.019,P,,False
00:30:53.518,I,,False
00:31:31.289,P,,False
00:32:11.529,I,,False
00:32:53.771,-,,False
00:33:34.512,I,,False
00:34:16.521,I,,False
00:35:19.016,P,,False
00:36:20.511,I,,False
00:37:14.265,N,,False
00:37:24.775,N,,False
00:37:35.286,N,,False
00:37:35.519,N,,False
00:37:52.403,N,,False
00:38:00.011,N,,False
00:38:04.148,N,,False
00:38:16.027,I,,False
00:38:30.374,N,,False
00:38:35.012,N,,False
00:38:41.152,N,,False
00:39:18.289,P,,False
00:40:21.786,P,,False
00:40:56.520,I,,False
00:41:35.526,P,,False
00:42:49.533,P,,False
00:44:03.507,P,,False
00:45:17.514,-,,False
00:45:57.521,I,,False
00:46:14.004,I,,False
00:46:58.649,P,,False
00:48:11.889,P,,False
00:48:52.396,N,,False
00:48:52.529,N,,False
00:49:00.137,N,,False
00:49:41.011,P,,False
00:50:55.018,P,,False
00:51:38.028,I,,False
00:52:12.028,I,,False
00:52:47.898,P,,False
00:53:55.699,P,,False
00:55:03.500,P,,False
00:56:11.301,P,,False
00:57:19.102,P,,False
00:57:55.505,M,,False
00:58:08.518,C,,False
00:58:33.510,C,,False
00:58:41.117,R,,False
00:58:43.520,R,,False
00:58:44.287,R,,False
00:58:47.457,R,,False
00:59:28.164,-,,False
01:00:46.409,-,,False
