at,scene-label,scene-subtype-label,transitional
00:00:10.010,B,,False
00:00:27.527,S,D,True
00:00:30.263,S,D,False
00:00:36.770,S,D,False
00:00:49.015,L,,False
00:00:59.526,M,,True
00:01:01.161,M,,False
00:01:04.397,M,,False
00:01:39.466,-,,False
00:02:46.366,-,,False
00:03:53.266,-,,False
00:05:00.166,-,,False
00:06:07.066,-,,False
00:06:41.000,F,,False
00:07:26.779,P,,False
00:08:17.530,F,,False
00:09:05.044,P,,False
00:09:57.029,F,,False
00:10:31.864,P,,False
00:11:41.534,P,,False
00:12:51.170,P,,False
00:13:42.521,F,,False
00:14:24.530,P,,False
00:15:22.021,F,,False
00:15:52.651,P,,False
00:16:52.911,P,,False
00:17:53.138,P,,False
00:18:53.398,-,,False
00:19:26.532,-,,False
00:19:44.516,F,,False
00:20:00.499,F,,False
00:20:10.008,F,,False
00:20:29.027,F,,False
00:21:34.026,P,,False
00:22:28.513,F,,False
00:22:51.503,G,,False
00:23:31.710,P,,False
00:24:43.114,P,,False
00:25:54.519,-,,False
00:27:05.924,P,,False
00:28:17.328,-,,False
00:28:53.031,C,,False
00:29:04.008,C,,False
00:29:13.017,C,,False
00:29:16.521,C,,False
00:29:20.525,C,,False
00:29:27.999,C,,False
