at,scene-label,scene-subtype-label,transitional
00:00:00.000,B,,False
00:00:29.162,S,D,False
00:00:31.031,S,D,False
00:00:36.403,S,D,False
00:01:01.027,O,,False
00:02:05.024,F,,False
00:02:18.004,M,,False
00:03:10.023,M,,True
00:03:11.391,M,,False
00:03:14.160,M,,True
00:03:54.000,E,,False
00:04:13.519,F,,False
00:05:03.503,I,,False
00:05:42.308,P,,False
00:06:52.945,P,,True
00:08:03.583,-,,False
00:09:14.220,P,,False
00:09:53.025,I,,False
00:10:24.156,P,,False
00:11:25.384,P,,False
00:12:26.645,-,,False
00:13:27.873,-,,False
00:14:03.509,-,,False
00:14:56.028,I,,False
00:15:29.028,F,,False
00:16:26.518,T,,False
00:17:28.013,-,,False
00:18:01.013,I,,False
00:18:32.511,F,,False
00:19:16.021,I,,False
00:19:39.511,F,,False
00:19:46.018,I,,False
00:20:30.028,F,,False
00:20:55.520,I,,False
00:21:29.521,F,,False
00:21:56.014,I,,False
00:22:52.504,I,,False
00:23:50.529,-,,False
00:24:42.514,I,,True
00:25:11.510,I,,False
00:25:31.530,F,,False
00:26:04.796,-,,False
00:26:37.529,F,,False
00:26:55.013,I,,False
00:27:26.277,P,,False
00:28:27.772,F,,False
00:29:01.005,F,,False
00:30:01.499,F,,False
00:30:14.512,I,,False
00:30:47.645,P,,False
00:31:52.877,F,,False
00:32:40.525,F,,False
00:32:58.009,E,,False
00:33:24.502,E,,False
00:33:58.002,P,,False
00:34:31.002,I,,False
00:35:29.527,I,,False
00:36:25.016,F,,False
00:36:39.030,T,,False
00:37:14.265,P,,False
00:37:45.029,L,,False
00:37:51.502,I,,False
00:38:30.274,P,,False
00:39:11.515,F,,False
00:39:26.530,T,,True
00:39:45.015,L,,True
00:40:22.019,I,,False
00:40:33.497,F,,False
00:40:50.014,I,,False
00:41:35.025,P,,False
00:43:03.013,F,,False
00:43:48.525,F,,False
00:44:40.511,F,,False
00:45:35.766,E,,False
00:46:34.525,E,,False
00:47:06.023,I,,False
00:47:31.515,L,,False
00:48:20.497,F,,False
00:48:55.999,-,,False
00:49:33.503,I,,False
00:50:29.526,F,,False
00:50:38.001,F,,False
00:50:53.016,E,,False
00:51:34.758,P,,False
00:52:21.505,F,,False
00:52:52.502,I,,False
00:53:19.529,L,,False
00:53:28.505,L,,False
00:54:20.523,G,,False
00:55:01.264,-,,False
00:55:41.504,G,,False
00:56:06.996,I,,False
00:56:51.007,I,,False
00:57:26.509,M,,False
00:57:52.001,I,,False
00:58:33.510,F,,False
