at,scene-label,scene-subtype-label,transitional
00:00:06.006,B,,False
00:01:06.533,S,D,False
00:01:15.275,S,D,False
00:01:15.508,S,D,False
00:01:21.781,S,D,False
00:01:36.029,O,,False
00:01:52.512,G,,False
00:01:55.515,G,,False
00:02:40.393,P,,False
00:03:41.154,P,,False
00:04:13.453,M,,False
00:04:15.521,O,,False
00:04:17.290,O,,False
00:04:21.127,O,,False
00:04:28.001,F,,False
00:05:15.515,F,,False
00:05:22.522,F,,False
00:06:18.277,P,,False
00:07:12.031,F,,False
00:07:23.009,-,,False
00:07:56.275,-,,False
00:08:29.008,F,,False
00:09:02.642,-,,False
00:10:09.942,-,,False
00:11:17.209,P,,False
00:12:24.510,-,,False
00:13:31.811,-,,False
00:14:39.078,-,,False
00:15:46.378,-,,False
00:16:21.513,F,,False
00:16:52.878,-,,False
00:17:55.641,-,,False
00:18:58.403,P,,False
00:20:01.133,P,,False
00:21:03.895,P,,False
00:22:06.625,-,,False
00:23:09.388,-,,False
00:24:12.150,-,,False
00:25:14.880,P,,False
00:26:17.642,P,,False
00:27:20.405,P,,False
00:28:23.134,P,,False
00:29:25.897,-,,False
00:30:28.626,P,,False
00:31:02.026,F,,False
00:31:41.266,P,,False
00:32:58.776,-,,False
00:33:37.515,P,,False
00:34:18.256,-,,False
00:35:36.767,-,,False
00:36:17.508,-,,False
00:36:37.028,U,,False
00:36:40.031,U,,False
00:36:48.506,U,,False
00:36:55.513,U,,False
00:37:33.251,P,,False
00:38:46.757,P,,False
00:40:00.264,P,,False
00:40:41.505,F,,False
00:41:19.577,-,,False
00:42:21.672,-,,False
00:43:23.801,-,,False
00:44:25.896,E,,False
00:45:28.025,P,,False
00:46:30.120,P,,False
00:47:32.216,-,,False
00:48:34.344,-,,False
00:49:36.440,-,,False
00:50:08.505,F,,False
00:50:46.777,-,,False
00:51:54.277,P,,False
00:53:01.778,P,,False
00:54:09.279,P,,False
00:55:16.780,F,,False
00:55:51.514,F,,False
00:56:52.509,F,,False
00:57:54.370,C,,False
00:57:58.074,C,,False
00:58:01.811,C,,False
00:58:05.548,C,,False
00:58:09.252,C,,False
00:58:12.989,C,,False
00:58:16.693,C,,False
00:58:20.430,C,,False
00:58:24.133,C,,False
00:58:24.501,C,,False
00:58:27.871,C,,False
00:58:31.574,C,,False
00:58:35.311,C,,False
00:58:39.048,C,,False
00:58:42.752,C,,False
00:58:46.489,C,,False
00:58:50.193,C,,False
00:58:53.930,R,,False
00:58:57.634,R,,False
00:59:02.505,L,,False
00:59:24.027,L,,False
