at,scene-type,scene-subtype,transitional
00:00:00.500,B,,False
00:00:48.014,F,,False
00:01:20.013,M,,False
00:01:21.014,M,,False
00:01:23.016,M,,False
00:01:26.519,F,,False
00:01:35.028,I,,False
00:02:04.023,I,,False
00:02:11.030,I,,False
00:02:26.513,I,,False
00:02:50.503,I,,False
00:03:22.001,E,,False
00:03:51.531,I,,False
00:04:17.523,F,,False
00:04:52.525,F,,False
00:05:50.516,G,,False
00:05:52.151,G,,False
00:06:03.396,G,,True
00:06:56.282,-,,False
00:07:44.530,I,,False
00:08:35.014,I,,False
00:08:59.505,I,,False
00:09:32.505,F,,False
00:10:05.004,-,,False
00:10:38.504,-,,False
00:11:33.526,I,,False
00:12:11.530,F,,False
00:12:25.511,F,,False
00:12:30.015,I,,False
00:13:26.505,I,,False
00:13:44.523,F,,False
00:14:17.022,I,,False
00:14:26.532,F,,False
00:14:57.029,I,,False
00:15:12.511,I,,False
00:15:48.013,F,,False
00:16:04.029,I,,False
00:16:35.527,I,,False
00:17:09.795,-,,False
00:17:46.532,F,,False
00:17:57.509,F,,False
00:18:11.023,I,,False
00:18:45.290,P,,False
00:19:19.525,I,,False
00:19:55.527,F,,False
00:20:00.499,I,,False
00:20:27.526,P,,False
00:21:01.526,P,,False
00:22:06.525,F,,False
00:22:41.526,I,,False
00:23:43.021,F,,False
00:24:01.006,I,,False
00:24:36.007,P,,False
00:25:11.510,I,,False
00:25:35.000,I,,False
00:25:59.024,P,,False
00:26:24.015,I,,False
00:27:15.500,I,,False
00:27:31.516,F,,False
00:27:44.529,I,,False
00:27:45.664,I,,False
00:27:47.899,I,,False
00:28:24.769,P,,False
00:29:03.007,F,,False
00:29:08.012,F,,False
00:29:25.530,I,,True
00:29:45.016,I,,False
00:30:48.513,G,,False
00:30:54.018,G,,False
00:31:05.029,I,,False
00:31:32.023,F,,False
00:31:45.003,I,,False
00:32:09.527,F,,False
00:32:41.526,I,,False
00:33:03.014,I,,False
00:33:27.005,I,,False
00:33:54.499,I,,False
00:34:21.025,G,,False
00:35:02.500,F,,False
00:35:19.016,F,,False
00:35:59.023,I,,False
00:36:35.026,P,,False
00:37:11.529,I,,False
00:38:06.017,I,,False
00:38:35.513,I,,False
00:39:16.020,I,,False
00:40:15.012,I,,False
00:40:31.529,I,,False
00:41:08.332,-,,False
00:42:14.031,-,,False
00:43:19.697,P,,False
00:43:52.529,I,,False
00:44:19.523,I,,False
00:44:42.513,I,,False
00:45:13.510,G,,False
00:45:17.514,G,,False
00:45:22.519,I,,False
00:46:02.526,I,,False
00:46:30.020,I,,False
00:47:04.021,G,,False
00:47:20.504,F,,False
00:47:39.022,F,,False
00:48:26.003,I,,False
00:48:37.014,P,,False
00:48:40.517,P,,False
00:49:00.504,I,,False
00:49:16.019,F,,False
00:49:57.527,I,,False
00:50:30.027,I,,False
00:51:05.028,I,,False
00:51:51.007,F,,False
00:52:00.016,I,,False
00:52:28.011,F,,False
00:52:59.509,F,,False
00:53:37.013,I,,False
00:54:26.763,P,,False
00:55:16.513,I,,False
00:55:49.512,P,,False
00:56:22.011,I,,False
00:56:47.504,F,,False
00:57:05.522,I,,False
00:57:48.765,C,,False
00:57:57.273,C,,False
00:57:59.509,C,,False
00:58:05.782,C,,False
00:58:14.157,C,,False
00:58:19.395,C,,False
00:58:20.497,C,,False
00:59:02.005,-,,False
01:00:22.018,-,,False
