timestamp,total,type label,subtype label,modifier
00:00:00.533,00:58:34.177,S,G,False
00:00:01.534,00:58:34.177,S,G,False
00:00:02.035,00:58:34.177,S,G,False
00:00:02.535,00:58:34.177,S,G,False
00:00:03.003,00:58:34.177,S,G,False
00:00:04.037,00:58:34.177,S,G,False
00:00:05.005,00:58:34.177,S,G,False
00:00:05.538,00:58:34.177,S,G,False
00:00:06.539,00:58:34.177,S,G,False
00:00:10.543,00:58:34.177,L,,False
00:00:13.013,00:58:34.177,F,,False
00:00:14.014,00:58:34.177,F,,False
00:00:18.018,00:58:34.177,T,,False
00:00:18.551,00:58:34.177,T,,False
00:00:20.553,00:58:34.177,T,,False
00:00:21.021,00:58:34.177,T,,False
00:00:25.558,00:58:34.177,T,,False
00:00:26.559,00:58:34.177,T,,False
00:00:28.028,00:58:34.177,T,,False
00:00:29.562,00:58:34.177,T,,False
00:00:30.030,00:58:34.177,T,,False
00:00:31.031,00:58:34.177,T,,False
00:00:31.564,00:58:34.177,T,,False
00:00:32.565,00:58:34.177,T,,False
00:00:35.502,00:58:34.177,T,,False
00:00:36.036,00:58:34.177,T,,False
00:00:37.504,00:58:34.177,T,,False
00:00:38.038,00:58:34.177,T,,False
00:00:39.039,00:58:34.177,T,,False
00:00:39.506,00:58:34.177,T,,False
00:00:40.507,00:58:34.177,T,,False
00:00:43.510,00:58:34.177,F,,False
00:00:44.044,00:58:34.177,F,,False
00:00:44.511,00:58:34.177,F,,False
00:00:45.045,00:58:34.177,F,,False
00:00:45.512,00:58:34.177,F,,False
00:00:46.046,00:58:34.177,F,,False
00:00:46.513,00:58:34.177,F,,False
00:00:47.047,00:58:34.177,F,,False
00:00:49.049,00:58:34.177,F,,False
00:01:07.534,00:58:34.177,P,,False
00:01:10.003,00:58:34.177,P,,False
00:01:11.538,00:58:34.177,P,,False
00:01:21.548,00:58:34.177,N,,False
00:01:22.549,00:58:34.177,N,,False
00:01:23.016,00:58:34.177,N,,False
00:01:23.550,00:58:34.177,N,,False
00:01:24.017,00:58:34.177,N,,False
00:01:24.551,00:58:34.177,N,,False
00:01:26.019,00:58:34.177,-,,False
00:01:28.555,00:58:34.177,-,,False
00:01:29.556,00:58:34.177,-,,False
00:01:31.024,00:58:34.177,-,,False
00:01:31.558,00:58:34.177,-,,False
00:01:33.026,00:58:34.177,-,,False
00:01:41.034,00:58:34.177,-,,False
00:01:51.544,00:58:34.177,-,,False
00:01:55.548,00:58:34.177,-,,False
00:02:26.045,00:58:34.177,P,,False
00:03:19.032,00:58:34.177,P,,False
00:03:25.038,00:58:34.177,P,,False
00:03:29.042,00:58:34.177,P,,False
00:03:34.547,00:58:34.177,P,,False
00:03:39.552,00:58:34.177,F,,False
00:03:40.553,00:58:34.177,-,,False
00:03:52.065,00:58:34.177,N,,False
00:03:53.533,00:58:34.177,N,,False
00:03:55.034,00:58:34.177,P,,False
00:03:56.035,00:58:34.177,P,,False
00:04:10.049,00:58:34.177,F,,False
00:04:22.562,00:58:34.177,T,,False
00:04:23.062,00:58:34.177,T,,False
00:04:23.563,00:58:34.177,T,,False
00:04:34.007,00:58:34.177,Y,,False
00:04:34.540,00:58:34.177,Y,,False
00:04:35.008,00:58:34.177,Y,,False
00:04:35.541,00:58:34.177,Y,,False
00:04:36.009,00:58:34.177,Y,,False
00:04:36.542,00:58:34.177,Y,,False
00:04:37.010,00:58:34.177,Y,,False
00:04:41.014,00:58:34.177,-,,False
00:04:44.017,00:58:34.177,P,,False
00:05:03.036,00:58:34.177,I,,False
00:05:03.536,00:58:34.177,I,,False
00:05:05.038,00:58:34.177,I,,False
00:05:07.040,00:58:34.177,P,,False
00:05:31.064,00:58:34.177,P,,False
00:05:41.541,00:58:34.177,P,,False
00:05:43.042,00:58:34.177,P,,False
00:05:44.043,00:58:34.177,-,,False
00:05:51.050,00:58:34.177,-,,False
00:05:53.052,00:58:34.177,P,,False
00:05:56.055,00:58:34.177,P,,False
00:05:59.559,00:58:34.177,-,,False
00:06:08.534,00:58:34.177,P,,False
00:06:12.038,00:58:34.177,P,,False
00:06:13.039,00:58:34.177,P,,False
00:06:15.041,00:58:34.177,I,,False
00:06:15.541,00:58:34.177,I,,False
00:06:16.042,00:58:34.177,I,,False
00:06:16.542,00:58:34.177,I,,False
00:06:17.043,00:58:34.177,I,,False
00:06:17.543,00:58:34.177,I,,False
00:06:31.557,00:58:34.177,-,,False
00:06:41.534,00:58:34.177,-,,False
00:06:54.547,00:58:34.177,F,,False
00:06:56.549,00:58:34.177,F,,False
00:06:57.049,00:58:34.177,F,,False
00:06:58.551,00:58:34.177,F,,False
00:07:00.553,00:58:34.177,P,,False
00:07:01.053,00:58:34.177,P,,False
00:07:02.054,00:58:34.177,P,,False
00:07:03.055,00:58:34.177,P,,False
00:07:05.057,00:58:34.177,P,,False
00:07:06.058,00:58:34.177,P,,False
