at,scene-type,scene-subtype,transitional
00:00:12.012,B,,False
00:01:06.533,S,D,False
00:01:07.000,S,D,False
00:01:15.508,S,D,False
00:01:28.521,G,,False
00:02:06.025,-,,False
00:02:40.026,F,,False
00:02:48.501,M,,False
00:03:27.140,F,,False
00:03:38.384,E,,False
00:03:41.020,E,,False
00:04:15.521,-,,False
00:04:47.520,I,,False
00:05:28.528,P,,False
00:06:44.504,-,,False
00:07:23.009,I,,False
00:08:01.514,-,,False
00:08:36.515,I,,False
00:09:35.508,I,,False
00:10:09.875,P,,False
00:11:13.639,P,,False
00:11:47.506,-,,False
00:11:59.518,I,,False
00:13:00.012,I,,False
00:13:49.528,P,,False
00:14:39.011,F,,False
00:14:49.021,F,,False
00:15:41.507,F,,False
00:15:56.021,F,,False
00:16:15.507,I,,False
00:16:57.783,P,,False
00:17:39.525,-,,False
00:18:31.043,P,,False
00:19:25.030,F,,False
00:19:29.001,F,,False
00:20:02.501,P,,False
00:21:02.527,P,,False
00:21:37.029,F,,False
00:22:11.530,P,,False
00:22:45.030,I,,False
00:23:33.044,P,,False
00:24:21.026,-,,False
00:25:16.515,-,,False
00:26:12.003,-,,False
00:26:53.511,P,,False
00:27:33.518,-,,False
00:28:03.515,G,,False
00:28:12.023,E,,False
00:28:17.162,E,,False
00:28:30.408,E,,False
00:28:40.518,F,,True
00:29:01.773,T,,False
00:29:04.008,T,,False
00:29:05.276,T,,False
00:29:08.780,T,,False
00:29:12.283,T,,False
00:30:16.014,F,,False
00:31:06.030,P,,False
00:31:57.515,I,,False
00:32:31.382,P,,False
00:33:33.144,P,,False
00:34:05.510,I,,False
00:34:42.013,P,,False
00:35:16.013,I,,False
00:35:52.116,P,,False
00:36:53.277,P,,False
00:37:54.438,F,,False
00:38:27.004,I,,False
00:39:02.139,P,,False
00:40:03.367,P,,False
00:40:37.001,I,,False
00:41:36.026,I,,False
00:42:21.138,P,,False
00:43:47.391,P,,False
00:44:33.003,I,,False
00:45:35.499,I,,False
00:46:26.283,P,,False
00:47:13.030,I,,False
00:47:47.130,P,,False
00:48:49.393,F,,False
00:49:21.024,I,,False
00:50:23.020,P,,False
00:51:20.010,F,,False
00:51:52.008,I,,False
00:52:28.011,P,,False
00:53:04.014,G,,False
00:54:02.005,-,,False
00:54:21.524,I,,False
00:55:22.018,-,,False
00:55:59.522,-,,False
00:57:11.494,-,,False
00:57:49.999,E,,False
00:58:02.412,C,,False
00:58:06.249,C,,False
00:58:10.053,C,,False
00:58:13.857,C,,False
00:58:17.660,C,,False
00:58:21.498,C,,False
00:58:25.301,C,,False
00:58:28.505,C,,False
00:58:29.105,C,,False
00:58:32.909,C,,False
00:58:36.713,C,,False
00:58:40.550,C,,False
00:58:44.354,C,,False
00:58:48.157,C,,False
00:58:51.961,C,,False
00:58:55.798,C,,False
00:58:59.602,R,,False
