at,scene-type,scene-subtype,transitional
00:00:03.503,B,,False
00:00:09.275,S,D,False
00:00:15.782,S,D,False
00:00:16.015,S,D,False
00:00:41.007,W,,False
00:00:45.011,I,,False
00:01:04.030,M,,False
00:01:55.281,I,,False
00:01:57.517,I,,False
00:02:04.791,I,,False
00:02:42.795,P,,False
00:03:23.002,I,,False
00:04:11.884,P,,False
00:05:36.636,P,,False
00:06:29.655,F,,False
00:06:45.505,F,,False
00:06:50.910,F,,False
00:07:09.529,F,,False
00:08:25.037,-,,False
00:09:21.027,-,,False
00:09:56.095,-,,False
00:11:04.196,-,,False
00:12:12.331,-,,False
00:13:20.432,F,,False
00:14:02.007,I,,False
00:14:46.418,P,,False
00:16:06.265,P,,False
00:17:26.111,P,,False
00:18:09.521,I,,False
00:18:12.391,I,,False
00:18:25.137,I,,False
00:19:17.523,P,,False
00:20:10.142,G,,False
00:20:18.016,G,,False
00:20:23.388,G,,False
00:21:09.501,I,,False
00:21:51.510,P,,False
00:22:31.516,I,,False
00:23:12.891,P,,False
00:24:25.630,P,,False
00:25:38.403,P,,False
00:26:51.142,P,,False
00:27:31.850,G,,False
00:27:40.525,G,,False
00:27:48.500,G,,False
00:27:49.167,G,,False
00:27:58.510,G,,False
00:27:58.677,G,,False
00:28:06.017,G,,False
00:28:13.358,R,,False
