at,scene-label,scene-subtype-label,transitional
00:00:00.033,B,,False
00:00:09.442,S,H,False
00:00:14.514,S,H,False
00:00:17.283,S,H,False
00:00:25.125,S,H,False
00:00:34.000,L,,False
00:01:08.001,I,,False
00:02:06.526,P,,False
00:03:00.013,I,,False
00:03:36.182,P,,False
00:04:42.482,P,,False
00:05:48.748,P,,False
00:06:55.047,P,,False
00:08:01.347,P,,False
00:08:36.515,I,,False
00:09:15.888,P,,False
00:10:30.630,P,,False
00:11:45.404,P,,False
00:13:00.146,P,,False
00:13:39.518,-,,False
00:14:21.260,P,,False
00:15:01.500,P,,False
00:15:35.968,P,,False
00:16:41.867,P,,False
00:17:47.766,P,,False
00:18:53.665,P,,False
00:19:59.565,P,,False
00:20:36.001,F,,False
00:20:44.009,F,,False
00:21:16.642,P,,False
00:22:18.904,-,,False
00:23:21.133,P,,False
00:24:23.395,P,,False
00:24:54.526,I,,False
00:25:28.727,P,,False
00:26:32.090,P,,False
00:27:35.453,P,,False
00:28:38.817,P,,False
