at,scene-type,scene-subtype,transitional
00:00:05.005,B,,False
00:00:08.375,S,G,False
00:00:14.147,S,G,False
00:00:16.015,S,G,False
00:01:22.515,O,,False
00:01:49.008,M,,False
00:02:21.274,P,,False
00:02:54.007,F,,False
00:03:53.499,Y,,False
00:04:38.011,F,,False
00:05:00.500,F,,False
00:05:07.507,I,,False
00:05:40.506,E,,False
00:06:15.007,I,,False
00:06:53.646,-,,False
00:08:03.883,-,,False
00:08:41.020,F,,False
00:08:59.005,-,,False
00:09:42.782,-,,False
00:10:26.525,F,,False
00:11:01.794,-,,False
00:11:38.531,I,,False
00:11:44.003,F,,False
00:12:30.015,-,,False
00:13:01.547,-,,False
00:14:03.642,P,,False
00:15:05.738,-,,False
00:16:07.800,P,,False
00:17:09.895,P,,False
00:18:11.990,F,,False
00:18:47.526,-,,False
00:19:23.529,-,,False
00:20:00.032,F,,False
00:20:32.531,I,,False
00:21:18.243,P,,False
00:22:43.762,-,,False
00:23:28.507,I,,False
00:24:00.038,-,,False
00:25:01.066,P,,False
00:26:02.093,-,,False
00:27:03.121,-,,False
00:28:04.149,-,,False
00:29:05.210,P,,False
00:30:06.237,E,,False
00:31:07.265,-,,False
00:32:08.293,-,,False
00:33:09.320,-,,False
00:34:10.381,-,,False
00:35:11.409,P,,False
00:36:12.436,P,,False
00:37:13.464,-,,False
00:38:14.492,-,,False
00:38:47.024,I,,False
00:39:33.537,-,,False
00:41:00.524,E,,False
00:41:45.002,-,,False
00:42:20.070,P,,False
00:43:28.205,F,,False
00:44:36.306,E,,False
00:45:44.441,P,,False
00:46:24.515,-,,False
00:46:32.022,-,,False
00:47:05.856,-,,False
00:48:11.521,P,,False
00:49:17.187,P,,False
00:49:51.521,E,,False
00:50:30.027,-,,False
00:51:06.530,F,,False
00:51:59.015,Y,,False
00:52:45.762,P,,False
00:53:34.511,C,,False
00:53:43.019,C,,False
00:53:43.520,C,,False
00:54:04.507,R,,False
00:54:13.016,G,,False
00:54:38.375,S,G,False
00:54:43.013,S,G,False
00:54:44.147,S,G,False
00:54:53.023,O,,False
00:54:55.525,F,,False
