at,scene-type,scene-subtype,transitional
00:00:24.024,L,,False
00:00:46.012,L,,False
00:01:20.780,M,,True
00:01:22.015,M,,True
00:01:30.290,M,,False
00:02:09.929,P,,False
00:03:19.766,P,,False
00:04:29.602,-,,False
00:05:14.013,I,,False
00:05:56.889,P,,False
00:07:22.642,-,,False
00:08:06.018,I,,False
00:08:42.688,P,,False
00:09:47.019,P,,False
00:10:51.350,P,,False
00:11:27.520,I,,False
00:12:18.404,P,,False
00:13:46.125,P,,False
00:14:30.502,I,,False
00:15:17.883,P,,False
00:16:43.635,P,,False
00:17:29.515,I,,False
00:18:13.258,P,,False
00:19:22.761,P,,False
00:20:32.264,P,,False
00:21:08.500,I,,False
00:21:42.501,I,,False
00:22:17.269,P,,False
00:23:23.769,P,,False
00:24:02.007,I,,False
00:24:38.109,P,,False
00:25:50.282,P,,False
00:27:02.454,P,,False
00:27:45.030,I,,False
00:28:02.080,C,,False
00:28:04.516,C,,False
00:28:05.216,C,,False
00:28:08.319,C,,False
00:28:11.456,C,,False
00:28:22.000,C,,False
00:28:30.008,L,,False
