at,scene-label,scene-subtype-label,transitional
00:00:00.533,L,,True
00:00:01.034,L,,False
00:00:01.534,L,,False
00:00:02.035,L,,False
00:00:02.535,L,,False
00:00:03.003,L,,False
00:00:03.536,L,,False
00:00:04.037,L,,False
00:00:04.537,L,,False
00:00:08.541,L,,False
00:00:09.009,L,,False
00:00:09.209,L,,False
00:00:09.542,L,,False
00:00:10.010,L,,False
00:00:10.543,L,,False
00:00:10.844,L,,False
00:00:11.011,L,,False
00:00:11.544,L,,False
00:00:12.012,L,,False
00:00:12.545,L,,False
00:00:13.013,L,,False
00:00:13.546,L,,False
00:00:14.014,L,,False
00:00:14.547,L,,False
00:00:15.015,L,,False
00:00:15.548,L,,False
00:00:15.682,L,,False
00:00:16.049,L,,True
00:00:16.750,L,,False
00:00:17.550,L,,False
00:00:18.018,L,,False
00:00:18.952,L,,False
00:00:22.022,L,,False
00:00:24.858,L,,False
00:00:25.025,L,,True
00:00:29.029,P,,False
00:00:48.615,F,,False
00:00:50.517,F,,False
00:00:58.892,F,,False
00:00:59.526,F,,False
00:01:20.013,P,,False
00:01:21.014,P,,False
00:01:23.550,-,,False
00:01:35.161,-,,False
00:01:47.040,-,,False
00:02:16.035,M,,False
00:02:20.507,M,,False
00:02:21.040,M,,False
00:02:22.041,M,,False
00:02:22.509,M,,False
00:02:23.042,M,,False
00:02:23.510,M,,False
00:02:24.043,M,,False
00:02:24.511,M,,False
00:02:25.044,M,,False
00:02:28.047,O,,False
00:02:28.515,O,,False
00:02:31.050,O,,False
00:02:43.363,P,,False
00:02:49.002,P,,False
00:02:49.536,P,,False
00:02:56.543,P,,False
00:02:58.011,P,,False
00:03:26.539,-,,False
00:03:51.598,P,,False
00:03:52.065,P,,False
00:03:55.034,P,,False
00:03:55.535,P,,False
00:04:02.041,P,,False
00:04:06.546,P,,False
00:04:08.047,P,,False
00:04:08.548,P,,False
00:04:12.051,-,,False
00:04:25.732,F,,False
00:04:28.001,F,,False
00:04:28.534,F,,False
00:04:29.002,F,,False
00:04:30.536,F,,False
00:04:51.557,P,,False
00:05:00.033,P,,False
00:05:00.533,P,,False
00:05:06.039,-,,False
00:05:08.508,-,,False
00:05:09.042,-,,False
00:05:09.542,-,,False
00:05:10.043,-,,False
00:05:10.543,-,,False
00:05:11.044,P,,False
00:05:12.045,P,,False
00:05:13.546,P,,False
00:05:21.554,P,,False
00:05:22.555,P,,False
00:05:23.556,P,,False
00:05:30.063,P,,False
00:05:39.539,P,,False
00:05:46.045,P,,False
00:05:52.051,P,,False
00:05:59.559,-,,False
00:06:00.059,-,,False
00:06:01.060,-,,False
00:06:01.561,-,,False
00:06:02.061,-,,False
00:06:08.034,-,,False
00:06:18.044,F,,False
00:06:29.789,P,,False
00:06:31.057,-,,False
