at,scene-type,scene-subtype,transitional
00:00:16.516,B,,False
00:01:05.031,G,,False
00:01:49.609,-,,False
00:03:00.813,P,,False
00:04:12.018,P,,False
00:05:23.222,F,,False
00:06:34.427,-,,False
00:07:12.031,-,,False
00:07:55.908,-,,False
00:09:23.629,F,,False
00:10:09.008,F,,False
00:10:46.512,-,,False
00:12:01.520,-,,False
00:12:39.525,P,,False
00:13:17.530,P,,False
00:13:47.793,-,,False
00:14:48.320,P,,False
00:15:48.847,-,,False
00:16:49.375,-,,False
00:17:49.902,-,,False
00:18:50.429,-,,False
00:19:50.956,-,,False
00:20:51.483,P,,False
00:21:52.010,-,,False
00:22:52.537,-,,False
00:23:53.064,-,,False
00:24:53.592,-,,False
00:25:54.119,-,,False
00:26:54.646,-,,False
00:27:55.173,-,,False
00:28:55.700,-,,False
00:29:56.227,G,,False
00:30:56.754,-,,False
