at,scene-type,subtype label,modifier
00:00:35.035,S,D,False
00:00:35.502,S,D,False
00:00:36.036,S,D,False
00:00:37.504,S,D,False
00:00:39.039,S,D,False
00:00:41.508,S,D,False
00:00:46.046,L,,False
00:00:46.513,L,,False
00:00:51.051,L,,False
00:00:55.055,L,,False
00:00:55.522,L,,True
00:00:56.056,O,,False
00:00:56.523,O,,False
00:00:57.057,O,,False
00:00:57.524,O,,False
00:00:59.059,O,,False
00:01:26.553,P,,False
00:01:40.033,M,,False
00:01:42.035,M,,False
00:01:42.535,M,,False
00:01:43.036,M,,False
00:01:44.037,M,,False
00:01:45.038,M,,False
00:01:45.538,M,,False
00:01:46.539,M,,False
00:01:47.540,M,,False
00:01:48.041,M,,False
00:01:48.541,M,,False
00:01:51.544,O,,False
00:01:53.046,O,,False
00:01:53.546,O,,False
00:01:54.047,O,,False
00:01:55.048,O,,False
00:01:56.049,O,,False
00:01:56.549,O,,True
00:02:09.062,F,,False
00:02:30.049,-,,False
00:02:30.517,P,,False
00:02:31.518,I,,False
00:02:32.051,I,,False
00:02:33.052,I,,False
00:02:34.053,I,,False
00:02:39.058,F,,False
00:02:47.534,P,,False
00:02:48.535,-,,False
00:02:49.536,-,,False
00:02:50.003,-,,False
00:03:23.536,-,,False
00:03:24.037,-,,False
00:03:35.548,P,,False
00:03:48.061,-,,False
00:03:51.564,-,,False
00:04:02.041,P,,False
00:04:42.015,P,,False
00:04:42.548,P,,False
00:04:44.550,P,,False
00:04:48.554,P,,False
00:04:51.024,P,,False
00:05:04.537,P,,False
00:05:05.538,P,,False
00:05:12.045,P,,False
00:05:17.050,-,,False
00:05:25.558,-,,False
00:05:42.041,P,,False
00:05:58.057,-,,False
00:05:58.558,-,,False
00:06:00.560,-,,False
00:06:14.540,P,,False
00:06:15.041,P,,False
00:06:48.541,P,,False
00:07:11.564,F,,False
00:07:12.064,F,,False
00:07:23.543,-,,False
00:07:24.043,-,,False
00:07:28.047,Y,,False
00:07:31.551,Y,,False
00:07:34.053,I,,False
00:07:35.054,I,,False
00:07:37.557,I,,False
00:07:38.558,I,,False
00:07:39.058,I,,False
00:07:39.559,I,,False
00:07:40.059,-,,False
00:07:40.560,-,,False
00:07:41.561,-,,False
00:07:43.062,-,,False
00:07:50.036,-,,False
00:07:51.037,-,,False
00:07:55.541,-,,False
00:08:04.550,-,,False
00:09:23.062,-,,False
00:09:25.064,-,,False
00:09:27.033,-,,False
00:09:34.040,-,,False
00:09:34.540,-,,False
00:09:35.041,-,,False
00:09:39.045,-,,False
00:09:53.059,-,,False
00:10:00.533,P,,False
00:10:05.538,-,,False
00:10:06.038,-,,False
00:11:31.057,-,,False
00:11:58.551,-,,False
00:13:00.546,P,,False
00:13:01.046,P,,False
00:13:08.554,P,,False
00:13:21.534,P,,False
00:13:23.035,P,,False
00:13:30.042,E,,False
00:14:20.059,P,,False
00:15:42.041,-,,False
00:15:43.042,P,,False
00:15:45.044,P,,False
00:15:46.045,P,,False
00:15:50.549,-,,False
00:15:52.551,-,,False
00:15:54.053,P,,False
00:15:54.553,P,,False
00:16:43.035,P,,False
00:17:30.549,Y,,False
00:17:31.050,Y,,False
00:17:31.550,Y,,False
00:17:32.051,Y,,False
00:17:32.551,Y,,False
00:17:33.052,Y,,False
00:17:33.552,Y,,False
00:17:35.054,Y,,False
00:17:36.055,Y,,False
00:17:38.057,I,,False
00:17:38.557,I,,False
00:17:39.058,I,,False
00:17:40.559,I,,False
00:17:41.560,I,,False
00:17:42.561,I,,False
00:17:43.062,I,,False
00:17:43.562,I,,False
00:17:44.063,I,,False
00:17:44.563,I,,False
00:17:48.033,-,,False
00:17:49.034,-,,False
00:17:50.536,-,,False
00:17:51.537,-,,False
00:17:52.037,-,,False
00:17:52.538,-,,False
00:17:54.039,-,,False
00:18:10.556,-,,False
00:18:11.056,-,,False
00:18:12.057,-,,False
00:18:17.062,-,,False
00:18:17.563,-,,False
00:18:18.063,-,,False
00:18:18.564,-,,False
00:18:19.565,-,,False
00:18:20.065,-,,False
00:20:08.040,F,,False
00:20:09.041,F,,False
00:20:10.042,-,,False
00:20:14.546,-,,False
00:20:15.547,-,,False
00:21:30.055,-,,False
00:21:31.056,-,,False
00:21:58.050,I,,False
00:22:03.555,I,,False
00:22:42.561,P,,False
00:23:41.553,-,,False
00:23:44.055,-,,False
00:24:05.544,F,,False
00:24:27.532,F,,False
00:24:29.034,I,,False
00:24:30.535,I,,False
00:24:31.036,I,,False
00:24:33.038,I,,False
00:24:33.538,I,,False
00:24:35.040,I,,False
00:24:36.541,I,,False
00:24:50.055,P,,False
00:24:51.056,P,,False
00:26:45.537,P,,False
00:26:52.043,-,,False
00:27:01.052,P,,False
00:27:38.556,P,,False
00:28:02.547,Y,,False
00:28:03.048,Y,,False
00:28:04.049,Y,,False
00:28:04.549,Y,,False
00:28:05.050,Y,,False
00:28:05.550,Y,,False
00:28:06.051,Y,,False
00:28:06.551,Y,,False
00:28:07.052,Y,,False
00:28:07.552,Y,,False
00:28:08.053,Y,,False
00:28:08.553,Y,,False
00:28:09.554,Y,,False
00:28:11.056,I,,False
00:28:13.058,I,,False
