at,scene-type,scene-subtype,transitional
00:00:05.005,B,,False
00:00:25.525,S,G,False
00:00:28.695,S,G,False
00:00:40.040,S,G,False
00:00:51.351,S,G,False
00:01:02.529,L,,True
00:01:54.013,L,,False
00:01:55.148,L,,False
00:01:57.383,L,,False
00:02:42.028,I,,False
00:03:22.202,P,,False
00:04:41.514,E,,False
00:06:00.827,-,,False
00:06:41.000,E,,False
00:06:52.512,E,,False
00:06:53.513,F,,False
00:07:10.029,I,,False
00:07:58.010,E,,False
00:08:07.520,F,,False
00:08:37.517,I,,False
00:09:14.020,G,,False
00:09:16.355,G,,False
00:09:31.037,G,,False
00:09:45.685,G,,False
00:10:06.005,E,,False
00:10:13.512,E,,False
00:10:14.013,E,,False
00:10:50.016,I,,False
00:11:21.013,P,,False
00:11:59.518,I,,False
00:13:08.020,I,,False
00:13:48.861,P,,False
00:15:04.536,-,,False
00:16:20.179,P,,False
00:16:59.018,I,,False
00:17:02.521,I,,False
00:18:02.014,I,,False
00:19:03.008,I,,False
00:19:26.532,I,,False
00:20:05.871,G,,True
00:20:08.006,G,,False
00:20:09.641,G,,False
00:20:13.378,G,,False
00:20:17.149,G,,False
00:20:29.027,G,,False
00:20:41.607,G,,False
00:20:44.009,G,,False
00:20:44.776,G,,False
00:20:47.946,G,,False
00:21:17.509,I,,False
00:21:59.284,F,,False
00:22:41.526,Y,,False
00:23:17.162,P,,False
00:24:23.395,P,,False
00:25:29.661,P,,False
00:26:35.894,P,,False
00:27:18.503,Y,,False
00:27:41.326,C,,False
00:27:44.929,C,,False
00:27:48.500,C,,False
00:27:52.103,C,,False
00:27:55.507,C,,False
00:27:55.674,C,,False
00:27:59.277,C,,False
00:28:02.881,C,,False
00:28:06.451,C,,False
00:28:10.055,R,,False
00:28:13.625,R,,False
00:28:17.228,L,,False
00:28:20.999,L,,False
00:28:22.634,L,,False
00:28:25.870,L,,False
00:28:29.007,L,,False
