at,scene-type,scene-subtype,transitional
00:01:03.530,-,,False
00:01:05.532,L,,False
00:01:10.003,M,,False
00:01:11.538,M,,False
00:01:12.539,M,,False
00:01:13.006,M,,False
00:01:14.007,M,,True
00:01:17.544,-,,False
00:01:18.011,-,,False
00:01:21.014,-,,False
00:01:22.549,F,,False
00:01:23.016,F,,False
00:01:23.550,F,,False
00:01:56.049,L,,True
00:01:57.050,L,,True
00:02:01.054,L,,False
00:02:05.558,-,,False
00:02:17.504,-,,False
00:02:19.506,M,,False
00:02:20.507,M,,False
00:02:21.040,M,,False
00:02:21.508,M,,False
00:02:22.041,M,,False
00:02:22.509,M,,False
00:02:23.042,-,,False
00:02:25.512,M,,False
00:02:26.045,M,,False
00:02:26.513,M,,False
00:02:28.047,M,,False
00:02:28.515,M,,False
00:02:32.051,O,,False
00:02:33.052,O,,False
00:02:36.055,G,,True
00:02:36.523,G,,False
00:02:37.056,G,,False
00:02:37.524,G,,False
00:02:39.058,G,,False
00:02:39.526,G,,False
00:02:40.059,G,,False
00:02:40.527,G,,True
00:02:49.002,-,,False
00:02:51.004,F,,True
00:03:20.533,-,,False
00:03:35.048,F,,False
00:03:36.049,F,,False
00:03:37.050,F,,False
00:03:38.051,F,,False
00:03:39.052,F,,False
00:03:40.053,F,,False
00:03:40.553,F,,False
00:03:41.054,F,,False
00:04:10.550,I,,True
00:04:19.559,I,,False
00:04:45.551,P,,False
00:04:46.019,P,,False
00:04:49.022,P,,False
00:04:56.029,-,,False
00:04:57.030,-,,False
00:04:58.564,-,,False
00:04:59.032,-,,False
00:05:00.033,-,,False
00:05:00.533,-,,False
00:05:09.542,-,,False
00:05:10.043,-,,False
00:05:11.544,-,,False
00:05:20.553,I,,False
00:05:21.054,I,,False
00:05:22.555,I,,False
00:06:02.562,G,,False
00:06:03.563,G,,False
00:06:04.063,G,,False
00:06:04.564,G,,False
00:06:05.064,G,,False
00:06:06.065,G,,False
00:06:06.566,G,,False
00:06:07.033,-,,False
00:06:10.036,-,,False
00:06:43.035,P,,False
00:06:45.037,-,,False
00:06:45.538,-,,False
00:06:46.038,-,,False
00:07:03.055,I,,False
00:07:05.057,I,,False
00:07:05.558,I,,False
00:07:06.058,I,,False
00:07:10.062,P,,False
00:07:10.563,P,,False
00:07:18.037,P,,False
00:08:06.052,P,,False
00:08:10.556,P,,True
00:08:21.534,P,,False
00:08:23.035,P,,False
