at,scene-type,scene-subtype,transitional
00:00:01.000,B,,False
00:00:09.009,G,,False
00:00:32.031,F,,False
00:01:13.006,F,,False
00:01:49.008,F,,False
00:02:23.510,M,,False
00:03:30.510,-,,False
00:04:37.510,-,,False
00:05:16.015,I,,False
00:05:33.032,I,,False
00:05:38.504,E,,False
00:05:44.010,I,,False
00:05:51.017,I,,False
00:06:33.025,I,,False
00:06:51.010,I,,False
00:07:46.032,F,,False
00:07:53.506,I,,False
00:08:24.003,F,,False
00:08:56.002,F,,False
00:09:59.532,P,,False
00:10:57.523,F,,False
00:11:20.012,I,,False
00:11:48.007,I,,False
00:12:39.258,-,,False
00:13:31.010,I,,False
00:14:04.510,I,,False
00:14:44.016,I,,False
00:15:03.502,F,,False
00:15:35.501,-,,False
00:16:38.530,-,,False
00:17:10.029,-,,False
00:17:14.500,-,,False
00:17:33.519,I,,False
00:18:10.155,-,,False
00:19:17.389,P,,False
00:19:51.523,F,,False
00:20:06.004,F,,False
00:20:36.635,P,,False
00:21:36.895,-,,False
00:22:08.026,I,,False
00:22:46.531,P,,False
00:23:26.505,I,,False
00:23:57.436,P,,False
00:24:58.263,-,,False
00:25:59.090,P,,False
00:26:32.023,F,,False
00:26:49.007,I,,False
00:27:37.022,P,,False
00:28:25.003,I,,False
00:28:58.002,I,,False
00:29:34.005,I,,False
00:30:09.007,-,,False
00:30:44.509,I,,False
00:31:34.025,I,,False
00:32:38.022,I,,False
00:33:18.863,-,,False
00:34:37.542,-,,False
00:35:56.187,-,,False
00:36:36.527,E,,False
00:37:09.126,P,,False
00:38:12.356,-,,False
00:39:15.553,-,,False
00:40:18.783,P,,False
00:41:21.979,-,,False
00:42:25.175,P,,False
00:43:28.405,P,,False
00:44:02.006,F,,False
00:44:16.020,-,,False
00:44:44.515,I,,False
00:45:19.116,P,,False
00:46:25.282,P,,False
00:47:31.448,P,,False
00:48:05.515,F,,False
00:48:40.851,P,,False
00:49:42.446,-,,False
00:50:44.074,-,,False
00:51:45.702,-,,False
00:52:19.002,I,,False
00:52:52.002,I,,False
00:53:30.273,P,,False
00:54:40.777,-,,False
00:55:17.013,I,,False
00:55:44.507,I,,False
00:56:02.025,I,,False
00:56:45.535,-,,False
00:57:33.516,C,,False
00:57:45.528,C,,False
00:57:48.998,C,,False
00:57:57.507,C,,False
