at,scene-type,scene-subtype,transitional
00:00:01.001,B,,False
00:00:31.531,S,G,False
00:00:34.167,S,G,False
00:00:41.408,S,G,False
00:00:48.014,S,G,False
00:00:49.282,S,G,False
00:00:54.788,S,G,False
00:01:09.502,O,,False
00:01:43.503,-,,False
00:02:18.505,-,,False
00:02:53.707,G,,False
00:02:57.143,G,,False
00:03:00.013,G,,False
00:03:00.547,G,,False
00:03:03.983,G,,False
00:03:07.387,L,,True
00:03:10.824,O,,False
00:03:28.008,T,,False
00:04:07.013,-,,False
00:04:47.520,I,,False
00:05:40.540,P,,False
00:06:28.521,L,,True
00:06:33.526,T,,False
00:06:37.030,F,,False
00:06:47.007,-,,False
00:06:59.519,-,,False
00:07:38.591,-,,False
00:08:56.770,P,,False
00:10:14.948,P,,False
00:10:54.521,E,,False
00:11:37.263,P,,False
00:12:19.005,G,,False
00:12:20.640,G,,False
00:12:23.877,G,,False
00:12:28.848,G,,False
00:12:31.017,G,,False
00:12:32.519,G,,False
00:12:36.189,G,,False
00:13:10.523,G,,False
00:13:24.004,I,,False
00:13:58.371,P,,False
00:15:05.138,P,,False
00:15:38.505,I,,False
00:16:38.531,P,,False
00:17:55.008,F,,False
00:18:49.529,I,,False
00:19:06.012,I,,False
00:20:04.037,-,,False
00:21:04.030,F,,False
00:21:49.042,P,,False
00:22:35.522,F,,False
00:22:42.529,F,,False
00:22:44.531,F,,False
00:22:53.506,F,,False
00:23:26.006,E,,False
00:23:37.017,I,,False
00:24:10.517,P,,False
00:24:21.528,P,,False
00:24:40.013,P,,False
00:24:48.021,P,,False
00:25:02.002,P,,False
00:25:09.009,P,,False
00:25:54.521,P,,False
00:26:27.520,P,,False
00:27:29.516,P,,False
00:28:03.016,I,,False
00:28:37.784,P,,False
00:29:43.283,-,,False
00:30:48.782,T,,False
00:31:22.515,I,,False
00:32:03.023,-,,False
00:33:15.028,P,,False
00:33:52.532,P,,False
00:34:18.024,I,,False
00:35:04.404,P,,False
00:36:26.152,P,,False
00:37:10.530,I,,False
00:37:50.036,P,,False
00:38:29.009,P,,False
00:38:38.518,I,,False
00:39:21.027,P,,False
00:40:39.005,-,,False
00:41:19.012,P,,False
00:41:23.016,P,,False
00:41:34.027,P,,False
00:42:11.798,P,,False
00:43:18.298,P,,False
00:43:54.000,T,,True
00:44:24.764,P,,False
00:45:26.259,P,,False
00:45:59.526,I,,False
00:46:33.526,I,,False
00:47:08.461,-,,False
00:48:11.291,P,,False
00:49:14.087,P,,False
00:50:16.916,P,,False
00:51:19.746,P,,False
00:52:22.575,P,,False
00:52:58.011,I,,False
00:53:35.515,I,,False
00:54:10.684,P,,False
00:55:16.016,P,,False
00:56:21.348,-,,False
00:56:55.849,C,,False
00:56:59.552,C,,False
00:57:03.256,C,,False
00:57:06.960,C,,False
00:57:10.630,C,,False
00:57:14.334,C,,False
00:57:18.038,C,,False
00:57:21.708,C,,False
00:57:25.412,C,,False
00:57:26.012,C,,False
00:57:29.115,C,,False
00:57:32.786,C,,False
00:57:36.489,C,,False
00:57:40.193,C,,False
00:57:43.897,C,,False
00:57:47.567,C,,False
00:57:51.271,C,,False
00:57:54.974,G,,False
00:57:58.645,G,,False
00:58:02.015,G,,False
00:58:13.226,G,,False
00:58:15.528,G,,False
00:58:16.596,G,,False
00:58:19.966,G,,False
00:58:23.336,G,,False
00:58:34.514,G,,False
00:58:42.355,G,,False
00:58:45.025,G,,False
00:58:45.025,G,,False
00:58:47.694,G,,False
