at,scene-type,scene-subtype,transitional
00:00:02.502,B,,False
00:00:40.006,S,G,False
00:01:03.029,G,,False
00:01:41.201,-,,False
00:02:50.537,P,,False
00:03:59.839,P,,False
00:04:36.509,M,,False
00:05:36.502,I,,False
00:06:14.774,P,,False
00:06:57.517,Y,,False
00:07:40.760,P,,False
00:08:24.504,E,,False
00:08:45.525,I,,False
00:09:25.031,F,,False
00:09:49.522,F,,False
00:10:25.791,-,,False
00:11:35.294,-,,False
00:12:11.030,I,,False
00:12:29.014,I,,False
00:13:27.506,I,,False
00:14:09.014,I,,False
00:14:52.524,F,,False
00:15:40.272,-,,False
00:16:26.518,F,,False
00:17:01.286,-,,False
00:17:36.021,I,,True
00:17:37.156,I,,False
00:17:39.391,I,,False
00:17:42.528,I,,False
00:18:26.171,P,,False
00:19:46.418,P,,False
00:20:27.025,P,,False
00:21:16.008,I,,False
00:21:54.012,-,,False
00:23:01.012,-,,False
00:23:37.516,I,,False
00:24:02.007,F,,False
00:24:26.031,I,,False
00:25:19.017,-,,False
00:25:51.016,F,,False
00:26:27.786,-,,False
00:27:39.290,-,,False
00:28:50.795,P,,False
00:29:29.000,I,,False
00:30:03.101,-,,False
00:31:10.268,P,,False
00:32:17.435,-,,False
00:32:54.005,I,,False
00:33:34.512,-,,False
00:34:51.522,-,,False
00:36:08.499,-,,False
00:36:49.507,F,,False
00:37:04.021,F,,False
00:37:12.530,F,,False
00:37:16.000,F,,False
00:37:17.368,T,,False
00:37:20.137,T,,False
00:37:45.529,Y,,False
00:37:59.510,F,,False
00:38:13.024,F,,False
00:38:16.494,F,,False
00:38:33.010,F,,False
00:39:18.255,P,,False
00:40:35.766,-,,False
00:41:53.277,-,,False
00:42:33.517,I,,False
00:42:43.527,I,,False
00:43:24.501,I,,False
00:44:05.509,P,,False
00:45:26.490,-,,False
00:46:07.998,I,,False
00:46:48.305,-,,False
00:48:02.946,P,,False
00:49:17.554,-,,False
00:50:32.195,-,,False
00:51:09.499,I,,False
00:51:29.519,-,,False
00:52:05.789,P,,False
00:53:14.257,-,,False
00:54:22.759,-,,False
00:55:31.261,P,,False
00:56:39.763,-,,False
00:57:48.264,-,,False
00:58:24.400,C,,False
00:58:28.238,C,,False
00:58:32.075,C,,False
00:58:35.879,C,,False
00:58:39.716,C,,False
00:58:43.520,C,,False
00:58:47.357,C,,False
00:58:51.160,C,,False
00:58:54.497,C,,False
00:58:54.998,C,,False
00:58:58.835,C,,False
00:59:02.639,C,,False
00:59:06.476,C,,False
00:59:10.280,C,,False
00:59:14.117,C,,False
00:59:17.921,C,,False
00:59:21.758,C,,False
00:59:25.595,R,,False
