at,scene-label,scene-subtype-label,transitional
00:00:03.503,B,,False
00:01:12.272,-,,False
00:02:33.787,-,,False
00:03:19.399,S,,False
00:03:28.508,S,,False
00:03:29.142,S,,False
00:03:48.028,M,,False
00:03:52.532,O,,False
00:03:53.533,O,,False
00:03:55.502,O,,False
00:03:58.505,O,,False
00:04:06.513,O,,False
00:04:14.521,-,,False
00:05:02.035,-,,False
00:05:50.517,I,,False
00:06:35.028,P,,False
00:08:01.014,P,,False
00:08:51.031,F,,False
00:09:04.511,I,,False
00:09:11.017,E,,False
00:09:17.023,F,,False
00:10:02.769,-,,False
00:10:41.007,F,,False
00:11:30.256,-,,False
00:12:50.770,P,,False
00:13:37.517,F,,False
00:14:09.683,E,,False
00:15:11.011,F,,False
00:16:12.339,F,,False
00:16:46.506,I,,False
00:17:33.286,P,,False
00:18:19.532,E,,False
00:19:05.645,P,,False
00:20:26.893,P,,False
00:21:14.007,I,,False
00:21:47.874,P,,False
00:22:52.639,-,,False
00:23:57.370,E,,False
00:25:02.135,P,,False
00:25:43.510,F,,False
00:26:15.275,F,,False
00:27:16.770,-,,False
00:27:48.501,E,,False
00:28:03.516,G,,False
00:28:42.022,-,,False
00:29:21.027,-,,False
00:29:54.027,F,,False
00:30:22.522,F,,False
00:31:02.796,-,,False
00:31:39.532,L,,False
00:31:45.505,L,,False
00:31:59.019,L,,False
00:32:35.021,F,,False
00:32:54.007,F,,False
00:33:00.513,I,,False
00:33:10.023,-,,False
00:33:52.532,F,,False
00:34:30.503,-,,False
00:35:02.502,F,,False
00:35:46.513,G,,False
00:35:48.515,F,,False
00:36:20.780,-,,False
00:36:53.513,F,,False
00:37:08.028,F,,False
00:37:42.028,F,,False
00:38:42.756,-,,False
00:39:28.001,I,,False
00:39:39.512,F,,False
00:39:43.516,F,,False
00:39:49.522,F,,False
00:39:51.524,F,,False
00:39:55.028,F,,False
00:40:56.022,I,,False
00:41:56.016,P,,False
00:42:51.504,I,,False
00:43:23.870,P,,False
00:44:25.632,-,,False
00:45:27.394,P,,False
00:46:29.155,-,,False
00:47:01.521,I,,False
00:47:38.291,P,,False
00:48:42.789,P,,False
00:49:26.032,F,,False
00:49:36.009,I,,False
00:50:06.506,F,,False
00:50:44.377,-,,False
00:51:52.078,P,,False
00:52:59.779,-,,False
00:54:07.480,P,,False
00:55:15.181,P,,False
00:55:49.516,F,,False
00:56:25.952,-,,False
00:57:36.823,P,,False
00:58:47.694,P,,False
00:59:58.565,P,,False
01:00:34.000,T,,False
01:01:35.028,P,,False
01:02:49.502,F,,False
01:03:51.031,F,,False
01:04:53.526,E,,False
01:05:03.503,E,,False
01:05:18.518,-,,False
01:05:55.522,P,,False
01:06:32.025,F,,False
01:06:51.011,-,,False
01:07:03.023,I,,False
01:07:52.005,F,,True
01:07:59.012,F,,False
01:08:17.030,I,,False
01:08:54.267,F,,False
01:09:31.004,F,,False
01:09:51.024,G,,False
01:10:27.027,E,,False
01:11:05.031,F,,False
01:12:09.763,-,,False
01:13:10.023,F,,False
01:14:08.014,G,,False
01:14:11.017,G,,False
01:14:50.023,P,,False
01:15:52.018,-,,False
01:16:54.014,F,,False
01:17:56.009,-,,False
01:18:58.004,P,,False
01:19:30.503,P,,False
01:20:06.272,P,,True
01:20:41.508,P,,False
01:21:14.374,P,,False
01:22:17.137,P,,False
01:23:19.899,P,,False
01:24:22.629,P,,False
01:25:25.392,-,,False
01:26:28.154,-,,False
01:27:30.884,-,,False
01:28:33.646,-,,False
01:29:36.409,-,,False
01:30:39.139,-,,False
01:31:41.901,-,,False
01:32:44.631,-,,False
