at,scene-label,scene-subtype-label,transitional
00:00:00.000,B,,False
00:00:02.002,B,,False
00:00:04.004,B,,False
00:01:26.019,L,,False
00:01:28.021,L,,False
00:01:30.023,L,,False
00:01:48.007,M,,False
00:01:50.009,M,,False
00:01:54.013,T,,False
00:01:56.015,T,,False
00:01:58.017,-,,False
00:02:00.019,-,,False
00:02:02.021,-,,False
00:02:04.023,-,,False
00:02:06.025,-,,False
00:02:08.027,-,,False
00:02:10.029,-,,False
00:02:12.031,-,,False
00:02:14.000,P,,False
00:02:16.002,-,,False
00:02:18.004,-,,False
00:02:20.006,-,,False
00:02:22.008,-,,False
00:02:24.010,-,,False
00:02:26.012,-,,False
00:02:28.014,-,,False
00:02:30.016,-,,False
00:02:32.018,-,,False
00:02:34.020,-,,False
00:03:30.009,M,,True
00:03:32.011,M,,False
00:03:34.013,M,,True
00:03:36.015,M,,False
00:03:38.017,M,,False
00:04:08.014,F,,False
00:04:10.016,I,,True
00:04:12.018,I,,False
00:04:14.020,I,,True
00:04:16.022,-,,False
00:04:18.024,-,,False
00:04:20.026,-,,False
00:04:22.028,-,,False
00:04:32.005,P,,False
00:04:34.007,P,,False
00:04:36.009,P,,False
00:04:38.011,P,,False
00:04:40.013,P,,False
00:04:42.015,P,,False
00:04:44.017,P,,False
00:04:46.019,P,,False
00:04:48.021,P,,False
00:04:50.023,P,,False
00:04:52.025,I,,False
00:04:54.027,I,,False
00:04:56.029,P,,False
00:04:58.031,P,,False
00:05:00.033,P,,False
00:05:02.001,P,,False
00:05:04.003,P,,False
00:05:08.007,P,,True
00:05:10.009,I,,False
00:05:12.011,I,,False
00:05:14.013,I,,False
00:05:16.015,P,,False
00:05:18.017,P,,False
00:05:20.019,P,,False
00:05:22.021,P,,False
00:05:24.023,P,,False
00:05:26.025,P,,False
00:05:28.027,P,,False
00:05:30.029,P,,False
00:05:32.031,P,,False
00:05:34.000,P,,False
00:05:36.002,P,,False
00:05:38.004,F,,False
00:05:40.006,F,,False
00:05:56.022,I,,False
00:05:58.024,I,,False
00:06:00.026,I,,False
00:06:02.028,P,,False
00:06:04.030,P,,False
00:06:06.032,P,,False
00:06:08.000,P,,False
00:06:10.002,P,,False
00:06:12.004,P,,False
00:06:42.001,I,,True
00:06:44.003,I,,False
00:06:46.005,I,,False
00:06:48.007,I,,True
00:06:50.009,P,,False
00:06:52.011,P,,False
00:06:54.013,F,,False
00:06:56.015,T,,False
00:06:58.017,T,,False
00:07:00.019,T,,False
00:07:02.021,T,,True
00:07:04.023,-,,False
00:07:06.025,-,,False
00:07:08.027,-,,False
00:07:10.029,-,,False
00:07:12.031,F,,False
00:07:50.002,P,,False
00:07:52.004,I,,False
00:07:54.006,I,,False
00:07:56.008,P,,False
00:07:58.010,P,,False
00:08:00.012,P,,False
00:08:02.014,P,,False
00:08:04.016,P,,False
00:08:06.018,P,,False
00:08:08.020,P,,False
00:08:10.022,P,,False
00:08:12.024,P,,True
00:08:14.026,G,,False
00:08:16.028,G,,False
00:08:44.023,P,,False
00:08:46.025,I,,False
00:08:48.027,I,,False
00:08:50.029,I,,True
00:08:52.031,P,,False
00:08:54.000,P,,False
00:08:56.002,P,,False
00:08:58.004,P,,False
00:09:00.006,P,,False
00:11:40.032,P,,False
00:11:42.001,I,,False
00:11:44.003,I,,False
00:11:46.005,I,,True
00:11:48.007,P,,False
00:11:50.009,P,,False
00:11:52.011,P,,False
00:11:54.013,P,,False
