start,end,type label,modifier
00:00:46.046,00:00:58.058,O,False
00:01:22.015,00:01:49.542,P,False
00:01:56.016,00:02:25.045,P,False
00:03:09.022,00:03:32.545,M,False
00:03:53.033,00:03:53.033,P,False
00:04:42.015,00:04:42.015,P,False
00:05:08.008,00:05:09.009,T,False
00:05:25.025,00:05:26.026,F,False
00:05:34.501,00:05:34.501,F,False
00:05:42.509,00:05:42.509,I,False
00:05:57.524,00:05:57.524,P,False
00:05:58.525,00:06:00.060,I,False
00:06:03.063,00:06:03.063,P,False
00:06:24.017,00:06:24.017,I,False
00:06:26.019,00:06:35.562,P,False
00:06:37.564,00:06:41.001,I,False
00:06:46.006,00:06:52.545,P,False
00:07:18.505,00:07:20.507,I,False
00:09:19.526,00:09:19.526,P,False
00:10:29.562,00:10:29.562,P,False
00:12:21.041,00:12:22.042,P,False
00:13:45.558,00:13:45.558,P,False
00:14:06.046,00:14:07.047,P,False
00:15:19.019,00:17:07.560,P,True
00:18:11.558,00:18:22.535,F,False
00:18:48.561,00:18:52.032,Y,False
00:19:20.060,00:19:22.062,L,False
00:19:53.026,00:19:53.026,F,False
00:20:23.556,00:22:33.520,P,False
00:23:20.533,00:23:29.542,I,False
00:25:11.544,00:26:34.561,P,False
00:26:53.546,00:27:13.500,I,False
00:27:22.042,00:27:22.042,P,False
00:27:38.058,00:27:51.538,I,False
00:27:57.544,00:28:09.022,P,False
00:28:21.001,00:28:52.565,I,False
00:29:16.523,00:29:16.523,P,False
00:29:18.525,00:29:22.062,I,False
00:29:23.063,00:30:26.026,P,False
00:30:47.047,00:31:53.546,I,False
00:32:57.544,00:33:44.024,P,False
00:35:31.564,00:35:31.564,P,False
00:36:39.032,00:37:09.029,P,False
00:37:43.063,00:38:29.542,P,False
00:39:29.002,00:40:33.033,P,False
00:42:23.510,00:42:23.510,P,False
00:44:09.516,00:44:09.516,P,False
00:44:52.559,00:44:52.559,P,False
00:45:57.524,00:45:57.524,P,False
00:46:45.005,00:47:29.049,P,False
00:47:56.009,00:48:07.554,F,False
00:48:33.546,00:48:33.546,P,False
00:49:10.050,00:49:13.520,P,False
00:50:46.046,00:50:55.522,P,False
00:53:40.553,00:53:43.023,P,False
00:53:52.565,00:54:04.044,P,False
00:54:17.057,00:54:17.057,P,False
00:55:06.006,00:55:06.006,P,False
00:56:52.545,00:56:52.545,P,False
00:58:34.547,00:58:37.017,C,False
00:58:45.558,00:59:12.519,G,False
