start,end,type label,modifier
00:01:23.550,00:01:25.018,G,False
00:01:33.560,00:01:37.564,O,True
00:01:38.031,00:01:48.008,L,False
00:01:49.542,00:02:48.535,P,False
00:03:21.001,00:03:28.008,M,False
00:03:33.013,00:03:38.018,O,False
00:04:07.514,00:04:09.049,P,False
00:07:07.560,00:21:04.064,P,False
00:23:28.541,00:24:06.046,P,False
00:25:08.541,00:25:13.546,I,False
00:25:42.509,00:26:00.527,P,False
00:26:17.010,00:27:48.001,I,False
00:27:53.540,00:36:09.536,P,False
00:36:11.538,00:36:12.539,I,False
00:36:16.543,00:39:06.046,P,False
00:40:13.013,00:45:03.003,P,False
00:45:03.536,00:45:06.006,I,False
00:45:09.009,00:46:18.545,P,False
00:46:29.022,00:46:32.025,I,False
00:48:12.025,00:58:37.017,P,True
00:58:52.565,00:59:01.041,C,False
00:59:01.508,00:59:01.508,P,False
00:59:02.042,00:59:28.535,C,True
00:59:33.006,00:59:33.006,R,True
00:59:36.009,00:59:50.023,G,False
00:59:51.024,00:59:58.565,L,True
00:59:59.032,01:00:00.533,C,True
