start,end,type label,modifier
00:00:56.523,00:01:03.530,O,False
00:01:08.535,00:01:46.039,G,False
00:02:02.055,00:02:02.055,F,False
00:02:31.518,00:03:07.020,I,False
00:03:21.534,00:03:22.535,F,False
00:03:31.044,00:03:42.555,G,False
00:04:32.538,00:04:32.538,I,False
00:05:23.556,00:05:23.556,I,False
00:06:14.540,00:06:38.064,P,False
00:07:02.555,00:07:02.555,I,False
00:13:00.045,00:13:00.045,P,False
00:21:21.046,00:21:21.046,P,False
00:26:50.041,00:26:54.546,I,False
00:27:35.553,00:27:35.553,P,False
00:27:47.532,00:28:16.061,G,True
00:28:17.062,00:28:36.047,C,False
