start,end,type label,modifier
00:00:27.560,00:00:27.560,S,False
00:00:38.505,00:00:52.052,O,False
00:02:03.556,00:02:03.556,F,True
00:02:25.044,00:02:28.047,M,False
00:03:06.019,00:03:06.019,P,False
00:04:08.047,00:04:11.050,P,False
00:04:57.030,00:05:28.061,F,False
00:05:49.048,00:05:49.048,P,False
00:07:24.043,00:07:27.547,P,False
00:08:12.058,00:08:17.563,P,False
00:08:30.042,00:08:34.547,F,False
00:09:47.553,00:09:49.055,P,False
00:11:22.548,00:11:23.549,F,False
00:12:24.543,00:12:25.044,P,False
00:12:51.537,00:13:31.043,F,False
00:13:42.555,00:14:05.544,P,False
00:14:37.042,00:14:37.042,P,False
00:14:49.054,00:16:00.559,F,False
00:17:09.561,00:17:18.537,F,False
00:17:20.539,00:17:50.035,P,False
00:19:25.063,00:19:34.540,F,False
00:19:51.056,00:19:57.563,F,False
00:20:00.065,00:20:00.065,P,False
00:27:45.563,00:27:45.563,F,False
00:28:47.058,00:28:59.537,F,False
00:29:24.062,00:29:24.062,F,False
00:30:32.063,00:30:49.047,F,False
00:31:35.560,00:31:35.560,P,False
00:32:21.039,00:32:21.039,P,False
00:33:02.547,00:33:03.548,P,False
00:34:43.047,00:34:59.564,P,False
00:35:40.037,00:35:42.039,F,False
00:37:15.533,00:37:20.538,F,False
00:40:49.547,00:41:34.058,P,False
00:41:46.036,00:41:50.040,F,False
00:44:00.037,00:44:08.045,P,False
00:44:44.048,00:44:44.048,F,False
00:45:21.552,00:45:21.552,P,False
00:45:43.040,00:45:44.541,P,False
00:46:34.057,00:47:06.056,F,False
00:48:08.051,00:48:08.051,P,False
00:48:55.532,00:49:06.543,P,False
00:49:09.546,00:49:43.046,F,False
00:49:50.053,00:49:53.557,E,False
00:50:07.537,00:50:09.039,P,False
00:50:11.041,00:50:16.046,F,False
00:51:18.041,00:51:18.041,P,False
00:51:26.550,00:51:32.055,F,False
00:51:34.057,00:51:38.562,P,False
00:53:44.554,00:54:02.539,P,False
00:54:21.558,00:54:25.061,E,False
00:54:37.540,00:54:37.540,P,False
00:54:50.053,00:54:58.061,F,False
00:55:18.048,00:55:18.048,F,False
00:55:36.032,00:55:40.036,F,False
00:55:53.550,00:55:53.550,F,False
00:56:01.057,00:56:01.057,P,False
00:56:45.034,00:56:45.034,F,False
00:56:57.046,00:57:23.540,C,False
00:57:28.545,00:57:28.545,C,False
00:57:33.049,00:58:12.555,C,False
