start,end,type label,modifier
00:00:01.034,00:00:01.034,B,False
00:01:43.536,00:01:54.547,S,False
00:01:57.550,00:01:57.550,G,True
00:02:01.054,00:02:09.062,O,False
00:02:20.507,00:02:25.044,F,False
00:03:04.017,00:03:07.020,F,False
00:03:10.023,00:03:10.023,P,False
00:04:10.049,00:04:24.564,M,True
00:04:29.535,00:04:37.543,O,False
00:04:51.557,00:04:55.561,E,False
00:05:20.553,00:05:44.544,I,False
00:05:59.058,00:05:59.058,F,False
00:06:09.035,00:06:09.035,E,False
00:06:27.053,00:06:27.053,I,False
00:07:23.543,00:07:41.561,F,False
00:07:50.036,00:07:50.536,I,False
00:07:57.543,00:07:57.543,P,False
00:08:03.549,00:08:05.051,E,False
00:08:12.558,00:08:16.562,F,False
00:08:33.045,00:08:33.546,P,False
00:08:45.057,00:08:52.064,F,False
00:09:56.562,00:09:56.562,P,False
00:10:21.554,00:10:32.064,F,True
00:10:56.555,00:11:17.043,I,False
00:11:52.545,00:11:54.046,P,False
00:12:01.053,00:12:53.539,F,False
00:13:20.533,00:13:20.533,P,False
00:13:28.541,00:13:28.541,I,False
00:13:41.554,00:14:28.033,F,False
00:14:43.048,00:14:43.048,P,False
00:15:01.533,00:15:02.534,I,False
00:15:10.542,00:15:37.536,P,False
00:15:43.042,00:15:55.554,F,False
00:16:22.548,00:16:28.053,P,False
00:16:42.534,00:16:44.536,Y,False
00:16:55.547,00:17:35.054,P,False
00:17:39.558,00:17:49.535,F,False
00:18:37.049,00:18:39.551,I,False
00:19:22.060,00:19:51.557,P,False
00:20:07.039,00:20:07.039,I,False
00:20:35.033,00:20:35.033,P,False
00:21:03.061,00:21:10.535,F,False
00:21:52.044,00:21:53.045,F,False
00:21:58.050,00:22:01.553,I,True
00:22:20.539,00:22:25.544,E,False
00:22:34.052,00:22:57.542,P,False
00:23:49.561,00:23:49.561,F,False
00:23:53.532,00:24:00.539,E,False
00:24:17.055,00:25:01.533,P,False
00:25:06.037,00:25:07.539,F,False
00:25:32.063,00:25:46.044,P,False
00:25:48.046,00:25:51.049,I,False
00:26:15.540,00:26:32.057,P,False
00:26:51.543,00:26:51.543,F,False
00:26:55.547,00:26:55.547,P,False
00:27:01.052,00:27:04.055,E,False
00:27:52.037,00:28:05.050,F,True
00:28:06.051,00:28:12.057,P,True
00:28:12.557,00:28:15.060,F,True
00:29:04.542,00:29:05.543,E,False
00:29:14.552,00:29:42.547,F,False
00:29:43.548,00:29:43.548,E,False
00:29:49.554,00:29:49.554,P,False
00:29:51.055,00:29:57.061,F,False
00:30:08.540,00:30:12.544,I,False
00:30:16.548,00:30:22.053,F,False
00:30:27.058,00:30:28.560,P,False
00:30:38.536,00:30:46.044,P,False
00:31:10.034,00:31:16.040,F,False
00:31:49.540,00:31:49.540,P,False
00:32:01.052,00:32:01.052,I,False
00:32:38.556,00:32:40.058,I,False
00:33:10.555,00:33:10.555,P,True
00:33:27.038,00:33:44.055,I,False
00:33:54.032,00:34:20.558,F,False
00:34:52.557,00:34:52.557,P,False
00:35:38.035,00:35:38.536,F,False
00:36:00.057,00:36:00.057,P,False
00:36:35.560,00:36:35.560,F,False
00:37:02.053,00:37:02.053,P,False
00:37:27.044,00:37:27.044,F,False
00:37:31.048,00:37:32.049,P,False
00:37:36.554,00:37:36.554,F,False
00:37:41.058,00:37:41.058,I,False
00:37:52.536,00:38:20.531,P,False
00:38:23.534,00:38:23.534,I,False
00:38:28.539,00:39:55.559,P,False
00:40:06.537,00:40:21.552,P,False
00:40:41.539,00:40:41.539,P,False
00:40:57.054,00:40:57.555,P,False
00:41:01.058,00:41:01.559,I,False
00:41:08.032,00:41:43.534,P,False
00:42:12.563,00:42:12.563,I,False
00:42:16.534,00:42:16.534,P,False
00:42:40.558,00:42:40.558,F,False
00:43:01.045,00:43:01.045,P,False
00:43:15.559,00:43:17.561,F,False
00:43:43.554,00:43:43.554,I,False
00:43:49.560,00:43:49.560,P,False
00:45:15.045,00:45:55.052,P,False
00:46:33.056,00:46:56.547,P,False
00:47:18.035,00:47:18.035,F,False
00:47:23.040,00:48:01.545,P,False
00:48:04.047,00:48:16.059,F,False
00:48:17.060,00:49:34.538,P,False
00:49:39.042,00:49:39.042,I,False
00:49:48.051,00:50:42.539,P,False
00:51:16.540,00:51:22.045,P,False
00:51:59.049,00:52:54.538,P,False
00:53:06.550,00:53:06.550,F,False
00:53:33.043,00:53:33.043,I,False
00:55:00.530,00:55:03.533,F,False
00:55:11.541,00:55:13.543,F,False
00:55:30.060,00:55:36.032,P,False
00:55:38.034,00:55:47.544,E,False
00:56:09.032,00:56:09.032,F,False
00:56:33.056,00:56:47.036,P,False
00:58:05.548,00:58:10.053,P,False
00:58:11.554,00:58:13.556,F,False
00:58:33.543,00:58:40.049,F,False
00:58:44.554,01:00:13.042,C,False
